unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
lavoro;57;smart working;26;lavoro da casa;13;lavoro in smart working;4
casa;31;da casa;20;in smart working;12;26 è praticamente chiuso;3
smart;27;in smart;13;non è cambiato; 6;art 26 è praticamente;3
working;27;lavoro da;13;lavoro in smart; 4;chiuso trattando solo gli;3
molto;21;di lavoro; 9;26 è praticamente; 3;è praticamente chiuso trattando;3
attività;17;è cambiato; 8;art 26 è; 3;ex art 26 è;3
clienti;12;a casa; 7;chiuso trattando solo; 3;il reparto ex art;3
posso;11;lavoro in; 7;è praticamente chiuso; 3;in smart working da;3
solo;11;non è; 7;ex art 26; 3;praticamente chiuso trattando solo;3
covid; 9;non posso; 7;il reparto ex; 3;reparto ex art 26;3
cambiato; 8;con il; 6;praticamente chiuso trattando; 3;smart working da casa;3
lezioni; 8;in ufficio; 6;reparto ex art; 3;trattando solo gli indifferibili;3
diminuito; 7;a distanza; 5;smart working da; 3;a causa di incontri;2
lavorare; 7;attività di; 4;smart working e; 3;causa di incontri interpersonali;2
pazienti; 7;clienti e; 4;solo gli indifferibili; 3;la mia attività lavorativa;2
prima; 7;con clienti; 4;trattando solo gli; 3;non è cambiato molto;2
lavorativa; 6;il lavoro; 4;working da casa; 3;rallentato a causa di;2
poco; 6;lavoro a; 4;a causa di; 2;100 delle ore lavorative;1
ufficio; 6;26 è; 3;causa di incontri; 2;12 ore al giorno;1
computer; 5;a causa; 3;che non posso; 2;13 eventuale smart working;1
distanza; 5;al computer; 3;con clienti e; 2;3 studio solo prestazioni;1
laboratorio; 5;art 26; 3;delle ore lavorative; 2;4 3 studio solo;1
meno; 5;attività lavorativa; 3;di incontri interpersonali; 2;50 tempo in smart;1
personale; 5;chiuso trattando; 3;dispositivi di protezione; 2;6 alle 13 eventuale;1
quasi; 5;di protezione; 3;è cambiato molto; 2;a ambiente confinato casa;1
ridotto; 5;e i; 3;è diventato molto; 2;a casa altrimenti le;1
sempre; 5;è praticamente; 3;in termini di; 2;a casa con il;1
andare; 4;è stata; 3;incontri con clienti; 2;a casa e smart;1
aumentato; 4;ex art; 3;la mia attività; 2;a casa in smart;1
aumento; 4;gli indifferibili; 3;lavoro a casa; 2;a casa prima quasi;1
call; 4;i clienti; 3;lavoro di ricerca; 2;a causa delle lezioni;1
chiuso; 4;il mio; 3;lo smart working; 2;a dettagli prima irrilevanti;1
cliente; 4;il reparto; 3;mia attività lavorativa; 2;a distanza dei collaboratori;1
colleghi; 4;in modo; 3;non posso andare; 2;a distanza e al;1
contatto; 4;la mia; 3;non posso più; 2;a far capire alle;1
difficoltà; 4;lavoro di; 3;per attività di; 2;a gestire il lavoro;1
dispositivi; 4;lavoro su; 3;rallentato a causa; 2;a giorni alterni mascherina;1
dpi; 4;non lavoro; 3;tutto in smart; 2;a lavorare da casa;1
incontri; 4;on line; 3;100 delle ore; 1;a protezione sul banco;1
meeting; 4;per la; 3;12 ore al; 1;a quanto facessimo prima;1
numero; 4;praticamente chiuso; 3;13 eventuale smart; 1;a quelli del ne;1
ora; 4;quasi sempre; 3;3 studio solo; 1;a trasferita a casa;1
ore; 4;reparto ex; 3;4 3 studio; 1;a visita o sono;1
paziente; 4;se non; 3;50 tempo in; 1;abbiamo drasticamente ridotto il;1
protezione; 4;solo gli; 3;6 alle 13; 1;abbiamo istallato un divisorio;1
remoto; 4;trattando solo; 3;a ambiente confinato; 1;abbiamo preso tutte le;1
stato; 4;tutte le; 3;a casa altrimenti; 1;abbiamo ridotto gli interventi;1
svolgere; 4;working da; 3;a casa con; 1;accedere continuativamente alle attrezzature;1
totalmente; 4;working e; 3;a casa e; 1;access to the laboratory;1
26; 3;a lavorare; 2;a casa in; 1;ad eventuali lezioni o;1
art; 3;al giorno; 2;a casa prima; 1;ad individuare eventuali pz;1
attenzione; 3;al lavoro; 2;a causa delle; 1;ad internet e di;1
causa; 3;al paziente; 2;a dettagli prima; 1;adeguato anche al lavoro;1
difficile; 3;andare in; 2;a distanza dei; 1;aggiornamenti e corsi molto;1
diventato; 3;attività e; 2;a distanza e; 1;ai bimbi e occuparsi;1
ex; 3;attività non; 2;a far capire; 1;ai paziente malati covid;1
ferie; 3;cambiato molto; 2;a gestire il; 1;ai vari strumenti di;1
guanti; 3;casa in; 2;a giorni alterni; 1;al di là del;1
incontrare; 3;casa prima; 2;a lavorare da; 1;al giorno andare in;1
indifferibili; 3;causa di; 2;a lezioni telematiche; 1;al lavoro locale se;1
interventi; 3;che non; 2;a nuovo ordine; 1;al lavoro su computer;1
l'attività; 3;che posso; 2;a portare avanti; 1;al passato con la;1
l’attività; 3;con colleghi; 2;a protezione sul; 1;al paziente è cambiato;1
lavorative; 3;con i; 2;a quanto facessimo; 1;al paziente per aumento;1
limitato; 3;con la; 2;a quelli del; 1;al telefono niente visite;1
line; 3;conference call; 2;a trasferita a; 1;alcune attività che non;1
malati; 3;contatto con; 2;a visita o; 1;alcuni progetti anche da;1
modo; 3;delle lezioni; 2;abbiamo drasticamente ridotto; 1;all'estero dove ho delle;1
molte; 3;delle ore; 2;abbiamo istallato un; 1;all’inizio smart working poi;1
molti; 3;di incontri; 2;abbiamo preso tutte; 1;alla contagiosità per i;1
nessun; 3;di ricerca; 2;abbiamo ridotto gli; 1;alle 13 eventuale smart;1
on; 3;di supporto; 2;accedere continuativamente alle; 1;alle persone l’educazione civica;1
online; 3;difficoltà a; 2;access to the; 1;alternanza del personale distanziamento;1
organizzazione; 3;dispositivi di; 2;ad eventuali lezioni; 1;alterni mascherina vetro guanti;1
parte; 3;diventato molto; 2;ad individuare eventuali; 1;altra regione di tesidenza;1
persone; 3;e di; 2;ad internet e; 1;altri da vetri di;1
possiamo; 3;è diminuito; 2;adeguato anche al; 1;altrimenti le mie attività;1
praticamente; 3;è diventato; 2;aggiornamenti e corsi; 1;altro aspetto che è;1
presenza; 3;e lavoro; 2;ai bimbi e; 1;ambiente sociale scuola a;1
pz; 3;è limitato; 2;ai paziente malati; 1;anche al lavoro locale;1
reparto; 3;e molto; 2;ai vari strumenti; 1;anche da vetro perché;1
rispetto; 3;e non; 2;al di là; 1;anche la formazione da;1
riunioni; 3;e stato; 2;al giorno andare; 1;anche perché localizzate in;1
stata; 3;è stato; 2;al giorno circa; 1;anche precedentemetne al covid19;1
stress; 3;ferie forzate; 2;al lavoro locale; 1;ancora blindati e altri;1
studio; 3;gli interventi; 2;al lavoro su; 1;andare all'estero dove ho;1
supporto; 3;ho dovuto; 2;al passato con; 1;andare dai miei clienti;1
telefono; 3;ho iniziato; 2;al paziente è; 1;andare in bagno o;1
totale; 3;i dpi; 2;al paziente per; 1;andare in ufficio ma;1
trattando; 3;i pz; 2;al telefono niente; 1;annullate la maggior parte;1
tutte; 3;il numero; 2;alcune attività che; 1;annullato ero in stage;1
vetro; 3;in cantiere; 2;alcuni progetti anche; 1;anticontagio suggerite dal governo;1
ambiente; 2;in laboratorio; 2;all'attività prettamente clinica; 1;any experiment works which;1
annullato; 2;in presenza; 2;all'estero dove ho; 1;approccio al paziente per;1
attivita; 2;in termini; 2;all’inizio smart working; 1;appuntamento attività di smart;1
aumentata; 2;incontri con; 2;alla contagiosità per; 1;aspetto che è cambiato;1
aziende; 2;incontri interpersonali; 2;alle 13 eventuale; 1;assaggiare il mio caffè;1
cambiamenti; 2;internet e; 2;alle attrezzature lavorative; 1;assenza contatto pazienti teleconsulti;1
