unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
no;56;in ufficio;5;abbiamo deciso di;3;abbiamo deciso di lavorare;3
sì;27;no ma;5;deciso di lavorare;3;deciso di lavorare in;3
lavorare; 8;la mia;4;di lavorare in;3;di lavorare in telelavoro;3
ufficio; 8;abbiamo deciso;3;lavorare in telelavoro;3;ma abbiamo deciso di;3
solo; 7;deciso di;3;ma abbiamo deciso;3;no ma abbiamo deciso;3
posso; 6;di lavorare;3;no ma abbiamo;3;a contatto coi colleghi;1
laboratori; 5;di ricerca;3;andare in ufficio;2;a contatto con la;1
andare; 4;in telelavoro;3;l'accesso ai laboratori;2;a laboratori e incontri;1
casa; 4;lavorare in;3;laboratori di ricerca;2;a lavorare da casa;1
chiuso; 4;ma abbiamo;3;sì per prudenza;2;a suo giudizio urgenti;1
reparti; 4;non posso;3;a contatto coi;1;a terra pmc analisi;1
ricerca; 4;a casa;2;a contatto con;1;a torino dove normalmente;1
accesso; 3;a contatto;2;a laboratori e;1;a tutto il personale;1
cantieri; 3;ai laboratori;2;a lavorare da;1;accedere al dipartimento solo;1
clienti; 3;al momento;2;a suo giudizio;1;accedere per motivi di;1
covid; 3;andare in;2;a terra pmc;1;accedo al mio studio;1
deciso; 3;clienti e;2;a torino dove;1;access reparti covid con;1
l'attività; 3;da casa;2;a tutto il;1;access with an authorization;1
lavoro; 3;di psicoterapia;2;accedere al dipartimento;1;accesso a laboratori e;1
luoghi; 3;gli uffici;2;accedere per motivi;1;accesso ai servizi di;1
parzialmente; 3;ho dovuto;2;accedo al mio;1;accortezze e dispositivi di;1
potrei; 3;il laboratorio;2;access reparti covid;1;ad eccezione delle aule;1
prima; 3;l'accesso ai;2;access with an;1;agibile solo con un'autorizzazione;1
prudenza; 3;laboratori di;2;accesso a laboratori;1;ai laboratori dell'istituto di;1
telelavoro; 3;ma non;2;accesso ai servizi;1;ai laboratori è sconsigliato;1
uffici; 3;per prudenza;2;accortezze e dispositivi;1;ai luoghi di lavoro;1
accedere; 2;posso accedere;2;ad eccezione delle;1;ai servizi di degenza;1
access; 2;potrei andare;2;agibile solo con;1;al dipartimento solo dietro;1
alcuni; 2;reparti covid;2;ai laboratori dell'istituto;1;al mio studio solo;1
ambulatoriale; 2;si il;2;ai laboratori è;1;al momento si perché;1
autorizzazione; 2;sì per;2;ai luoghi di;1;al venerdì e dove;1
contatto; 2;solo per;2;ai servizi di;1;alcuni laboratori di ricerca;1
degenza; 2;sono in;2;al dipartimento solo;1;all'inizio del turno quando;1
dovuto; 2;stare a;2;al mio studio;1;altrimenti è stata consigliata;1
