unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
no;41;con i;11;con i colleghi;6;abbiamo cercato di contingentare;3
sì;26;i colleghi; 7;a contatto con;3;aggregazione come il bar;3
colleghi;22;colleghi e; 5;abbiamo cercato di;3;bar sono chiusi e;3
clienti;12;ci sono; 4;aggregazione come il;3;cercato di contingentare le;3
contatto; 6;contatto con; 4;bar sono chiusi;3;che frequentavamo insieme e;3
luoghi; 6;le distanze; 4;cercato di contingentare;3;chiusi e dove ci;3
distanze; 5;si colleghi; 4;che frequentavamo insieme;3;ci sono macchinette per;3
studenti; 5;sono chiusi; 4;chiusi e dove;3;colleghi nei luoghi che;3
chiusi; 4;a contatto; 3;ci sono macchinette;3;come il bar sono;3
distanziamento; 4;abbiamo cercato; 3;colleghi nei luoghi;3;come lo spogliatoio abbiamo;3
fornitori; 4;aggregazione come; 3;come il bar;3;con i colleghi nei;3
lavoro; 4;al minimo; 3;come lo spogliatoio;3;contemporanea come lo spogliatoio;3
stare; 4;bar sono; 3;contemporanea come lo;3;contingentare le presenze e;3
1; 3;cercato di; 3;contingentare le presenze;3;di aggregazione come il;3
aggregazione; 3;che frequentavamo; 3;di aggregazione come;3;di contingentare le presenze;3
bar; 3;chiusi e; 3;di contingentare le;3;distanze i luoghi di;3
casa; 3;clienti fornitori; 3;distanze i luoghi;3;dove ci sono macchinette;3
cercato; 3;colleghi nei; 3;dove ci sono;3;e contemporanea come lo;3
contemporanea; 3;come il; 3;e contemporanea come;3;e dove ci sono;3
contingentare; 3;come lo; 3;e dove ci;3;e le distanze i;3
distanza; 3;contemporanea come; 3;e le distanze;3;frequentavamo insieme e contemporanea;3
dpi; 3;contingentare le; 3;frequentavamo insieme e;3;i colleghi nei luoghi;3
frequentavamo; 3;di aggregazione; 3;i colleghi nei;3;i luoghi di aggregazione;3
fuggite; 3;di contingentare; 3;i luoghi di;3;il bar sono chiusi;3
insieme; 3;distanze i; 3;il bar sono;3;insieme e contemporanea come;3
macchinette; 3;distanziamento sociale; 3;insieme e contemporanea;3;la ristorazione vengono sistematicamente;3
minimo; 3;dove ci; 3;la ristorazione vengono;3;le distanze i luoghi;3
pazienti; 3;e contemporanea; 3;le distanze i;3;le presenze e le;3
posso; 3;e dove; 3;le presenze e;3;lo spogliatoio abbiamo cercato;3
precluso; 3;e le; 3;lo spogliatoio abbiamo;3;luoghi che frequentavamo insieme;3
presenze; 3;frequentavamo insieme; 3;luoghi che frequentavamo;3;luoghi di aggregazione come;3
ristorazione; 3;i luoghi; 3;luoghi di aggregazione;3;macchinette per la ristorazione;3
sistematicamente; 3;il bar; 3;macchinette per la;3;nei luoghi che frequentavamo;3
sociale; 3;insieme e; 3;nei luoghi che;3;per la ristorazione vengono;3
spogliatoio; 3;la ristorazione; 3;per la ristorazione;3;presenze e le distanze;3
vengono; 3;le presenze; 3;presenze e le;3;ristorazione vengono sistematicamente fuggite;3
altri; 2;lo spogliatoio; 3;ristorazione vengono sistematicamente;3;sono chiusi e dove;3
attualmente; 2;luoghi che; 3;sono chiusi e;3;sono macchinette per la;3
cerchiamo; 2;luoghi di; 3;sono macchinette per;3;spogliatoio abbiamo cercato di;3
chiuso; 2;macchinette per; 3;spogliatoio abbiamo cercato;3;a contatto con i;2
covid; 2;nei luoghi; 3;vengono sistematicamente fuggite;3;stare a contatto con;2
docenti; 2;non posso; 3;colleghi e clienti;2;1 mese esco solo;1
impossibile; 2;per la; 3;contatto con i;2;1 volta settimana x;1
mantenere; 2;presenze e; 3;non posso stare;2;a casa per ridurre;1
metro; 2;ristorazione vengono; 3;si colleghi docenti;2;a contatto con colleghi;1
molto; 2;sì per; 3;sì per prudenza;2;a febbraio abbiamo adottato;1
personale; 2;sistematicamente fuggite; 3;stare a contatto;2;a meno di esigenze;1
prudenza; 2;sono macchinette; 3;1 mese esco;1;a mia discrezione valutando;1
reparti; 2;spogliatoio abbiamo; 3;1 volta settimana;1;a numero ridotto per;1
solo; 2;vengono sistematicamente; 3;1 x spesa;1;a parte i colleghi;1
tutelare; 2;cerchiamo di; 2;a casa per;1;a rispettare la quarantena;1
ufficio; 2;colleghi docenti; 2;a febbraio abbiamo;1;abbiamo adottato il ns;1
utenti; 2;da casa; 2;a meno di;1;abbiamo chiuso l attività;1
x; 2;e clienti; 2;a mia discrezione;1;abbiamo preso delle precauzioni;1
accesso; 1;è precluso; 2;a numero ridotto;1;accortezze e dispositivi di;1
accorgimenti; 1;e studenti; 2;a parte i;1;ad internet consentono ugualmente;1
accortezze; 1;i dpi; 2;a rispettare la;1;adottato il ns protocollo;1
adottato; 1;il personale; 2;a tutto viso;1;agile uniti alla connettività;1
agile; 1;in ufficio; 2;abbiamo adottato il;1;agli studenti non è;1
alcun; 1;no ma; 2;abbiamo chiuso l;1;ai dipendenti occhiali e;1
alunni; 1;non è; 2;abbiamo preso delle;1;al minimo il rischio;1
amici; 1;per prudenza; 2;accortezze e dispositivi;1;al momento sì ma;1
assenza; 1;posso stare; 2;ad internet consentono;1;alla connettività veloce ad;1
ateco; 1;sì non; 2;adottato il ns;1;altri reparti non covid;1
attenzione; 1;stare a; 2;agile uniti alla;1;altri soggetti invito a;1
attività; 1;un metro; 2;agli studenti non;1;alunni né collaboratori a;1
basta; 1;1 mese; 1;ai dipendenti occhiali;1;anche se quasi impossibile;1
bè; 1;1 volta; 1;al minimo il;1;ateco prioritario solo i;1
bene; 1;1 x; 1;al minimo indispensabile;1;attività pur avendo il;1
c’è; 1;a casa; 1;al minimo necessario;1;attualmente lavoro in smart;1
call; 1;a chiamata; 1;al momento sì;1;avendo il codice ateco;1
caschi; 1;a febbraio; 1;alla connettività veloce;1;basta che sia con;1
cautelativamente; 1;a meno; 1;altri reparti non;1;bè i nostri clienti;1
certa; 1;a mia; 1;altri soggetti invito;1;c’è il distanziamento sociale;1
chiamata; 1;a numero; 1;alunni né collaboratori;1;casa per ridurre al;1
chirurgiche; 1;a parte; 1;anche se quasi;1;caschi con maschera protettiva;1
codice; 1;a rispettare; 1;assenza di feedback;1;cautelativamente non mi reco;1
collaboratori; 1;a tutto; 1;ateco prioritario solo;1;cerchiamo di ridurli al;1
comunque; 1;abbiamo adottato; 1;attività pur avendo;1;cerchiamo di tenere le;1
condizioni; 1;abbiamo chiuso; 1;attualmente lavoro in;1;certa distanza tra noi;1
congressi; 1;abbiamo preso; 1;avendo il codice;1;che sia con i;1
connettività; 1;accortezze e; 1;basta che sia;1;chiuso l attività pur;1
consapevoli; 1;ad internet; 1;bè i nostri;1;chiuso quindi mi è;1
consentito; 1;adottato il; 1;c’è il distanziamento;1;ci sono tentativi di;1
consentono; 1;agile uniti; 1;casa per ridurre;1;clienti colleghi e fornitori;1
contagio; 1;agli studenti; 1;caschi con maschera;1;clienti imprese edili colleghi;1
contattare; 1;ai dipendenti; 1;cautelativamente non mi;1;clienti sono i medici;1
contatti; 1;al momento; 1;cerchiamo di ridurli;1;clienti vi è distanziamento;1
corretti; 1;alcun accesso; 1;cerchiamo di tenere;1;codice ateco prioritario solo;1
dando; 1;alla connettività; 1;certa distanza tra;1;colleghi degli altri reparti;1
decreti; 1;altri reparti; 1;che sia con;1;colleghi e clienti vi;1
dipendenti; 1;altri soggetti; 1;chiuso l attività;1;colleghi provocando assenza di;1
direttamente; 1;alunni né; 1;chiuso quindi mi;1;colleghi si lavora da;1
disabile; 1;amici famigliari; 1;ci sono tentativi;1;colleghi università amici famigliari;1
discrezione; 1;anche se; 1;clienti colleghi e;1;comunque sono a casa;1
disponibili; 1;assenza di; 1;clienti imprese edili;1;con altri soggetti invito;1
dispositivi; 1;ateco prioritario; 1;clienti poco consapevoli;1;con colleghi e utenti;1
distanziare; 1;attività pur; 1;clienti sono i;1;con i colleghi degli;1
ditta; 1;attualmente lavoro; 1;clienti vi è;1;con i colleghi provocando;1
dobbiamo; 1;attualmente sì; 1;codice ateco prioritario;1;con i corretti dpi;1
dovute; 1;avendo il; 1;collaboratori a chiamata;1;con i miei colleghi;1
ecc; 1;basta che; 1;colleghi ci lavoro;1;con i parenti dei;1
edili; 1;bè i; 1;colleghi degli altri;1;con il personale da;1
esatto; 1;c’è il; 1;colleghi e fornitori;1;con le dovute accortezze;1
esco; 1;casa ora; 1;colleghi e studenti;1;con maschera protettiva a;1
esigenze; 1;casa per; 1;colleghi e utenti;1;connettività veloce ad internet;1
evitare; 1;caschi con; 1;colleghi provocando assenza;1;consentono ugualmente la necessaria;1
famigliari; 1;cautelativamente non; 1;colleghi si lavora;1;contattare nessuno a parte;1
febbraio; 1;certa distanza; 1;colleghi università amici;1;contatti al minimo indispensabile;1
feedback; 1;che sia; 1;colleghi via call;1;contatto con altri soggetti;1
figlia; 1;chiuso l; 1;comunque sono a;1;contatto con colleghi e;1
fisco; 1;chiuso quindi; 1;con altri soggetti;1;contatto con i clienti;1
fisicamente; 1;ci lavoro; 1;con colleghi e;1;contatto con i miei;1
formare; 1;clienti colleghi; 1;con i clienti;1;contatto fisco sì contatto;1
fp2; 1;clienti imprese; 1;con i corretti;1;contatto on line no;1
fp3; 1;clienti poco; 1;con i dpi;1;covid non si puo;1
funziona; 1;clienti sono; 1;con i miei;1;da 1 mese esco;1
già; 1;clienti vi; 1;con i parenti;1;da formare e con;1
giuste; 1;codice ateco; 1;con il personale;1;dal regolare distanziamento sociale;1
guanti; 1;collaboratori a; 1;con le dovute;1;dando guanti maschere fp2;1
guardia; 1;colleghi ci; 1;con maschera protettiva;1;degli altri reparti non;1
