unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
mascherine;19;smart working;18;distanza di sicurezza;5;accortezze più pulizia più;3
smart;19;di sicurezza; 7;in smart working;4;alla scrivania sanificazione giornaliera;3
working;19;distanziamento sociale; 7;accortezze più pulizia;3;bagni zona ricreativa zona;3
distanza;16;gel disinfettante; 7;alla scrivania sanificazione;3;comuni bagni zona ricreativa;3
guanti;16;si sono; 7;bagni zona ricreativa;3;dei luoghi comuni bagni;3
no;16;di lavoro; 6;comuni bagni zona;3;delle superfici utilizzate alla;3
dpi;13;tutti i; 6;dei luoghi comuni;3;distanziamento sociale quando è;3
disinfettante;12;a casa; 5;delle superfici utilizzate;3;giornaliera dei luoghi comuni;3
distanziamento;12;da casa; 5;distanziamento sociale quando;3;luoghi comuni bagni zona;3
sanificazione;12;distanza di; 5;giornaliera dei luoghi;3;più distanziamento sociale quando;3
casa;11;a tutti; 4;guanti e mascherina;3;più pulizia più distanziamento;3
lavoro;11;delle superfici; 4;luoghi comuni bagni;3;pulizia più distanziamento sociale;3
mascherina;11;distanza sociale; 4;più distanziamento sociale;3;sanificazione delle superfici utilizzate;3
sì;11;in presenza; 4;più pulizia più;3;sanificazione giornaliera dei luoghi;3
sociale;11;in smart; 4;pulizia più distanziamento;3;scrivania sanificazione giornaliera dei;3
sicurezza;10;mascherine e; 4;quando è possibile;3;si sono accortezze più;3
gel; 9;accortezze più; 3;ricreativa zona mensa;3;sociale quando è possibile;3
mani; 8;alla scrivania; 3;sanificazione delle superfici;3;sono accortezze più pulizia;3
protocolli; 8;bagni zona; 3;sanificazione giornaliera dei;3;superfici utilizzate alla scrivania;3
procedure; 7;ci sono; 3;scrivania sanificazione giornaliera;3;utilizzate alla scrivania sanificazione;3
quando; 7;comuni bagni; 3;si sono accortezze;3;zona ricreativa zona mensa;3
utilizzo; 7;dei luoghi; 3;sociale quando è;3;azienda ospedaliera di perugia;2
zona; 7;di mascherine; 3;sono accortezze più;3;dipartimento per la sicurezza;2
chiuso; 6;di protezione; 3;superfici utilizzate alla;3;la distanza di sicurezza;2
chiusura; 6;disinfettante mani; 3;utilizzate alla scrivania;3;le squadre di manutenzione;2
monouso; 6;e mascherina; 3;zona ricreativa zona;3;lo studio in smart;2
ogni; 6;è possibile; 3;a chi ha;2;regolamento dipartimento per la;2
persone; 6;giornaliera dei; 3;azienda ospedaliera di;2;si regolamento dipartimento per;2
pulizia; 6;guanti e; 3;delle mani e;2;studio in smart working;2
accesso; 5;guanti gel; 3;di gel disinfettante;2;tutto lo studio in;2
attività; 5;i protocolli; 3;di mascherine e;2;uso di mascherine e;2
azienda; 5;in ditta; 3;dipartimento per la;2;1 metro montati in;1
comuni; 5;le squadre; 3;entrare in ditta;2;10 giorni all'ingresso delle;1
mensa; 5;luoghi comuni; 3;gel disinfettante mani;2;19 nessun fornitore autotrasportatore;1
presenza; 5;obbligo di; 3;in presenza di;2;1m gel disinfettante guanti;1
prima; 5;per le; 3;in sala operatoria;2;2 clienti per volta;1
solo; 5;più distanziamento; 3;la distanza di;2;2 metri e dpi;1
superfici; 5;più pulizia; 3;le squadre di;2;3 e 10 giorni;1
ufficio; 5;pulizia più; 3;lo studio in;2;7324 oltre alle comuni;1
uso; 5;quando è; 3;mascherine e guanti;2;a 2 clienti per;1
all'ingresso; 4;ricreativa zona; 3;nei vari impianti;2;a 3 e 10;1
ambienti; 4;sanificazione delle; 3;ospedaliera di perugia;2;a casa non può;1
ancora; 4;sanificazione giornaliera; 3;per la sicurezza;2;a chi ha o;1
aziendali; 4;scrivania sanificazione; 3;prima della chiusura;2;a chi ha reale;1
bagni; 4;sociale quando; 3;regolamento dipartimento per;2;a chiunque acceda allmospedale;1
clienti; 4;sono accortezze; 3;si regolamento dipartimento;2;a delimitare la distanza;1
ditta; 4;superfici utilizzate; 3;squadre di manutenzione;2;a distanza laboratori limitati;1
https; 4;uso di; 3;studio in smart;2;a rischio o se;1
paziente; 4;utilizzate alla; 3;tutti a casa;2;a training relativi all'uso;1
pazienti; 4;zona mensa; 3;tutto lo studio;2;a tutti coloro che;1
personale; 4;zona ricreativa; 3;uso di mascherine;2;a tutti con cartelli;1
possibile; 4;a chi; 2;volta gel disinfettante;2;a tutti i dipendenti;1
protocollo; 4;a distanza; 2;1 metro montati;1;a tutti postazioni modificate;1
temperatura; 4;al minimo; 2;1.5m mascherina obbligatoria;1;abbiamo adottato alcun protocollo;1
utilizzate; 4;ancora no; 2;10 giorni all'ingresso;1;abbiamo delimitato l'area di;1
accortezze; 3;azienda ospedaliera; 2;19 nessun fornitore;1;abbiamo fatto riferimento alle;1
auto; 3;casi di; 2;1m gel disinfettante;1;abbiamo messo il disinfettante;1
camici; 3;chi ha; 2;2 clienti per;1;abbiamo un minimo di;1
casi; 3;degli ambienti; 2;2 metri e;1;abituali legati alla vita;1
certo; 3;degli spazi; 2;29 pagine brevemente;1;acceda allmospedale fornendo mascherine;1
deve; 3;dei laboratori; 2;3 e 10;1;accedere indossando la mascherina;1
distanze; 3;dei locali; 2;7324 oltre alle;1;accesso agli ambienti dei;1
durante; 3;della chiusura; 2;a 2 clienti;1;accesso con guanti e;1
entrare; 3;della mensa; 2;a 3 e;1;accesso delle persone all;1
evitare; 3;della mia; 2;a casa non;1;accesso negato a chi;1
giornaliera; 3;della temperatura; 2;a chiunque acceda;1;accesso per parenti o;1
igiene; 3;delle mani; 2;a delimitare la;1;accompagnatori https www.aopd.veneto.it news;1
igienizzante; 3;delle mascherine; 2;a distanza laboratori;1;ad un metro di;1
isolamento; 3;delle persone; 2;a rischio o;1;addetto fa da tramite;1
l'università; 3;di accedere; 2;a training relativi;1;adeguate tra le postazioni;1
laboratori; 3;di accesso; 2;a tutti coloro;1;adopted by following the;1
lavorativa; 3;di gel; 2;a tutti con;1;adottati alla ripresa delle;1
linee; 3;di manutenzione; 2;a tutti i;1;adottato alcun protocollo poiché;1
luoghi; 3;di personale; 2;a tutti postazioni;1;adozione linee d'indirizzo regionali;1
minimo; 3;di persone; 2;abbiamo adottato alcun;1;agli ambienti dei laboratori;1
ministero; 3;di perugia; 2;abbiamo delimitato l'area;1;agli strumenti diagnostici barriere;1
numero; 3;dipartimento per; 2;abbiamo fatto riferimento;1;ai contatti dispositivi di;1
