unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
riunioni;31;attività di;6;che lavorano contemporaneamente;3;che lavorano contemporaneamente con;3
attività;18;con il;5;con il proprio;3;con il proprio pz;3
assistenza;10;contatto con;5;con molte persone;3;con molte persone che;3
persone; 9;di lavoro;4;condivisione di spazi;3;condivisione di spazi palestra;3
lavoro; 8;al paziente;3;contemporaneamente con il;3;contemporaneamente con il proprio;3
pazienti; 6;assistenza sanitaria;3;di spazi palestra;3;di spazi palestra con;3
contatto; 5;che lavorano;3;il proprio pz;3;la condivisione di spazi;3
laboratori; 5;con molte;3;la condivisione di;3;lavorano contemporaneamente con il;3
lezioni; 5;condivisione di;3;lavorano contemporaneamente con;3;molte persone che lavorano;3
meeting; 5;contemporaneamente con;3;molte persone che;3;palestra con molte persone;3
sala; 5;di spazi;3;palestra con molte;3;persone che lavorano contemporaneamente;3
sanitaria; 5;il proprio;3;persone che lavorano;3;spazi palestra con molte;3
ambulatori; 4;la condivisione;3;spazi palestra con;3;assistenza diretta al paziente;2
clienti; 4;lavorano contemporaneamente;3;assistenza a pazienti;2;100 mq con 4;1
clinica; 4;molte persone;3;assistenza diretta al;2;4 giorni alla settimana;1
colleghi; 4;palestra con;3;attività di sviluppo;2;4 postazioni ma parte;1
covid; 4;persone che;3;con i clienti;2;a congresso riunioni di;1
medica; 4;proprio pz;3;decine di persone;2;a contatto con persone;1
paziente; 4;riunioni con;3;diretta al paziente;2;a decine di persone;1
quindi; 4;riunioni e;3;100 mq con;1;a fermarmi per covid;1
condivisione; 3;sala operatoria;3;19 attività medica;1;a pazienti potenzialmente indetti;1
contemporaneamente; 3;spazi palestra;3;4 giorni alla;1;a poche persone ma;1
esami; 3;a pazienti;2;4 postazioni ma;1;a prendere i miei;1
esperimenti; 3;assistenza a;2;a congresso riunioni;1;a scuola asilo quindi;1
incontri; 3;assistenza diretta;2;a contatto con;1;accertati i sospetti in;1
lavorano; 3;attività medica;2;a decine di;1;adibiti al reparto e;1
medico; 3;clienti o;2;a fermarmi per;1;affollato e quindi una;1
molte; 3;con i;2;a pazienti potenzialmente;1;al paziente covid per;1
operatoria; 3;decine di;2;a poche persone;1;al paziente e training;1
palestra; 3;di formazione;2;a prendere i;1;al reparto e luoghi;1
presso; 3;di persone;2;a scuola asilo;1;alla settimana porto e;1
proprio; 3;di ricerca;2;accertati i sospetti;1;allo sportello postale con;1
pz; 3;di supporto;2;adibiti al reparto;1;ambiente unico dove si;1
spazi; 3;di sviluppo;2;affollato e quindi;1;ambienti sono piccoli e;1
terapia; 3;diretta al;2;ai pazienti covid;1;ambulatori medici ospedali per;1
4; 2;front office;2;al paziente covid;1;ambulatoriali e di sala;1
altri; 2;i clienti;2;al paziente e;1;anche presso la clinica;1
aule; 2;in ospedale;2;al reparto e;1;archivio ed un bagno;1
coordinamento; 2;la stessa;2;alla diagnosi radiologica;1;asilo quindi sono forzatamente;1
decine; 2;le lezioni;2;alla settimana porto;1;assistenza a pazienti potenzialmente;1
diretta; 2;paziente e;2;allo sportello postale;1;assistenza malati covid accertati;1
dpi; 2;riunioni di;2;ambiente unico dove;1;assistenza sanitaria in studi;1
