unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
uso;11;uso di;5;condivise con altri;2;8n una busta e;1
pazienti; 6;di laboratorio;4;strumentazione di laboratorio;2;a casa spesa a;1
pc; 6;attività di;3;8n una busta;1;abiti e mi lascerò;1
attività; 5;utilizzo di;3;a casa spesa;1;acquistati su amazon e;1
condivisi; 5;anche da;2;abiti e mi;1;acquisti di alimentari fatta;1
laboratorio; 5;con altri;2;acquistati su amazon;1;adibite all'assistenza dei pazienti;1
strumenti; 5;condivise con;2;acquisti di alimentari;1;al lavoro in precedenza;1
computer; 4;condivisi uso;2;adibite all'assistenza dei;1;alimentari fatta on line;1
strumentazione; 4;dei pazienti;2;al lavoro in;1;all'assistenza dei pazienti covid;1
utilizzo; 4;di veicoli;2;alimentari fatta on;1;all'interno di aree sanitarie;1
altri; 3;gli strumenti;2;all'assistenza dei pazienti;1;altre persone contatto con;1
ausili; 3;lascerò le;2;all'interno di aree;1;altri colleghi con le;1
casa; 3;le mani;2;altre persone contatto;1;altri pazienti attese in;1
condivise; 3;le ricette;2;altri colleghi con;1;amazon e uso l’auto;1
covid; 3;mezzi pubblici;2;altri pazienti attese;1;anche da altre persone;1
documenti; 3;paziente covid;2;amazon e uso;1;anche da altri pazienti;1
oggetti; 3;per gli;2;anche da altre;1;anche strumentazioni e materiali;1
penne; 3;strumentazione di;2;anche da altri;1;anestesie generali in sala;1
tastiere; 3;strumenti di;2;anche strumentazioni e;1;apparecchiature elettriche e meccaniche;1
trasporto; 3;tastiere comuni;2;anestesie generali in;1;apparecchiature medicali sanitarie condivise;1
visite; 3;trasporto pubblico;2;apparecchiature elettriche e;1;aprire contenitori con all'interno;1
all'interno; 2;uso pc;2;apparecchiature medicali sanitarie;1;aree sanitarie adibite all'assistenza;1
apparecchiature; 2;8n una;1;aprire contenitori con;1;arriva dai nostri magazzini;1
aprire; 2;a casa;1;aprire i pacchi;1;ascensori utilizzo di lettini;1
cassette; 2;a domicilio;1;aree sanitarie adibite;1;assistenza in interventi radiologici;1
