unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
no;10;si le;3;accedere agli ambienti;2;accedere agli ambienti comuni;2
oggetti; 8;uso di;3;agli ambienti comuni;2;per accedere agli ambienti;2
sì; 6;accedere agli;2;per accedere agli;2;100 persone al giorno;1
guanti; 5;agli ambienti;2;per gli spostamenti;2;50 100 persone al;1
strumenti; 5;ambienti comuni;2;100 persone al;1;a domicilio e acquistati;1
essere; 4;car sharing;2;50 100 persone;1;abituali non monouso fonendoscopio;1
prendere; 4;con i;2;a domicilio e;1;accesso da digitare su;1
sanitari; 4;devono essere;2;abituali non monouso;1;ad esempio prendere le;1
uso; 4;gli oggetti;2;abitualmente gli strumenti;1;agli oggetti consegnati a;1
utilizzo; 4;gli spostamenti;2;accesso da digitare;1;ai colleghi che lo;1
ambienti; 3;i guanti;2;acquistati nei negozi;1;al giorno tra pazienti;1
comuni; 3;per accedere;2;acquisto nei supermercati;1;alcuni oggetti possono essere;1
materiali; 3;per gli;2;ad esempio prendere;1;alimentari estrarli dalle buste;1
accedere; 2;possono essere;2;ad ogni lezione;1;all’uscita santificazione completa alla;1
car; 2;strumenti sanitari;2;ad una decontaminazione;1;allestimento materiali x conferenze;1
cassette; 2;utilizzo oggetti;2;agli oggetti consegnati;1;allo zero perchè i;1
computer; 2;100 persone;1;ai colleghi che;1;altri saranno sottoposti a;1
controllo; 2;50 100;1;al giorno tra;1;amazon e tutto ciò;1
covid; 2;a disinfezione;1;al paziente covid;1;ambienti devono essere mantenuti;1
denaro; 2;a domicilio;1;alcuni oggetti possono;1;apparecchiature comuni in azienda;1
devono; 2;abituali non;1;alimentari estrarli dalle;1;assegni cambiali denaro modulistica;1
disinfetto; 2;abitualmente gli;1;all’uscita santificazione completa;1;attestazione presenza con badge;1
documenti; 2;accessi vascolari;1;alla fine dell’intervento;1;badge e codice di;1
dovrò; 2;accesso da;1;allestimento materiali x;1;buste o dalle cassette;1
ecc; 2;acquistati nei;1;allo zero perchè;1;cambiali denaro modulistica varia;1
esempio; 2;acquisto nei;1;altri saranno sottoposti;1;cambio indumenti all’uscita santificazione;1
monouso; 2;ad esempio;1;amazon e tutto;1;car sharing o autobus;1
paziente; 2;ad ogni;1;ambienti devono essere;1;caricati nel gestionale e;1
pazienti; 2;ad una;1;apparecchiature comuni in;1;cartacei attestazione presenza con;1
pc; 2;agli oggetti;1;arrivano da fuori;1;cartone e sistemarli nel;1
possono; 2;ai colleghi;1;assegni cambiali denaro;1;casa ed utilizzo oggetti;1
potenzialmente; 2;al giorno;1;assistenza linkage epidemiologici;1;cassette in cartone e;1
presidi; 2;al paziente;1;attestazione presenza con;1;cassette radio grafiche e;1
prodotti; 2;alcuni oggetti;1;badge e codice;1;cestinati e altri saranno;1
radio; 2;alimentari estrarli;1;buste o dalle;1;che acquisto nei supermercati;1
sharing; 2;all’uscita santificazione;1;cambiali denaro modulistica;1;che arrivano da fuori;1
solo; 2;alla fine;1;cambio indumenti all’uscita;1;che lo utilizzano successivamente;1
sopra; 2;allestimento materiali;1;car sharing o;1;ciò che acquisto nei;1
spostamenti; 2;allo zero;1;caricati nel gestionale;1;codice di accesso da;1
telefono; 2;altri saranno;1;cartacei attestazione presenza;1;colleghi che lo utilizzano;1
NA; 2;amazon e;1;cartelle spostare barelle;1;come pc e telefono;1
100; 1;ambienti devono;1;cartone e sistemarli;1;come sopra denaro ecc;1
50; 1;apparecchiature comuni;1;casa ed utilizzo;1;completa alla fine dell’intervento;1
abituali; 1;arrivano da;1;cassette in cartone;1;computer condivisi uso di;1
abitualmente; 1;assegni cambiali;1;cassette radio grafiche;1;computer e monouso cateteri;1
accessi; 1;assistenza linkage;1;cateteri accessi vascolari;1;comune per comunicazioni e;1
accesso; 1;attestazione presenza;1;cerca di limitarlo;1;con badge e codice;1
acquistati; 1;attività fisica;1;cestinati e altri;1;con i guanti e;1
acquisto; 1;badge e;1;che acquisto nei;1;con l'alcool indossando i;1
alcuni; 1;buste o;1;che arrivano da;1;con l'utilizzo dei guanti;1
alimentari; 1;c a;1;che lo utilizzano;1;condivisa quindi una persona;1
all’uscita; 1;cambiali denaro;1;ciò che acquisto;1;condivisi uso di robot;1
allestimento; 1;cambio indumenti;1;codice di accesso;1;confezioni di amazon e;1
altri; 1;caricati nel;1;colleghi che lo;1;consegna controllo documenti conto;1
amazon; 1;cartacei attestazione;1;come pc e;1;consegnati a domicilio e;1
amuchina; 1;cartelle spostare;1;come sopra denaro;1;contaminato in un reparto;1
apparecchiature; 1;cartone e;1;completa alla fine;1;contatto con il paziente;1
arrivano; 1;casa ed;1;computer condivisi uso;1;controllo documentale e ritiro;1
assegni; 1;cassette in;1;computer e monouso;1;controllo documenti conto soldi;1
assistenza; 1;cassette radio;1;comune per comunicazioni;1;copri volante oltre la;1
attenti; 1;cateteri accessi;1;comuni in azienda;1;coprisedili e copri volante;1
attestazione; 1;cerca di;1;comunicazioni e relazioni;1;da digitare su pulsantiera;1
attività; 1;cestinati e;1;con badge e;1;da usare con i;1
attrezzi; 1;che acquisto;1;con i guanti;1;dalle buste o dalle;1
aulee; 1;che arrivano;1;con i pazienti;1;dalle cassette in cartone;1
autobus; 1;che lo;1;con il paziente;1;dei laboratori di ricerca;1
autocertificazioni; 1;ciò che;1;con l'alcool indossando;1;del laboratorio è condivisa;1
azienda; 1;codice di;1;con l'utilizzo dei;1;dell'uso ad una decontaminazione;1
badge; 1;colleghi che;1;condivisa quindi una;1;devono essere caricati nel;1
barelle; 1;come pc;1;condivisi uso di;1;devono essere mantenuti pressochè;1
buste; 1;come sopra;1;confezioni di amazon;1;di accesso da digitare;1
cambiali; 1;completa alla;1;consegna controllo documenti;1;di amazon e tutto;1
cambio; 1;computer condivisi;1;consegnati a domicilio;1;di computer condivisi uso;1
caricati; 1;computer e;1;contaminato in un;1;di documenti cartacei attestazione;1
cartacei; 1;comune per;1;contatto con il;1;di doppi guanti o;1
cartelle; 1;comuni in;1;controllo documentale e;1;di prendere i generi;1
cartone; 1;comunicazioni e;1;controllo documenti conto;1;di ricerca e delle;1
casa; 1;con amuchina;1;copri volante oltre;1;di sanificare il veicolo;1
cateteri; 1;con badge;1;coprisedili e copri;1;di trasporto pubblico regionale;1
cerca; 1;con il;1;da digitare su;1;di uso comune per;1
cestinati; 1;con l'alcool;1;da usare con;1;diffondere il virus ai;1
ciò; 1;con l'utilizzo;1;dalle buste o;1;disinfetto con l'alcool indossando;1
codice; 1;condivisa quindi;1;dalle cassette in;1;disinfetto spesso con amuchina;1
