unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
no;44;si pazienti;8;applicare il distanziamento;3;applicare il distanziamento sociale; 3
colleghi;35;colleghi e;7;colleghi e studenti;3;è spesso non si; 3
pazienti;17;applicare il;3;è spesso non;3;non si può applicare; 3
clienti;13;clienti colleghi;3;il distanziamento sociale;3;può applicare il distanziamento; 3
sì; 8;contatto con;3;in contatto con;3;si è spesso non; 3
fornitori; 5;di no;3;non si può;3;si può applicare il; 3
persone; 5;distanziamento sociale;3;può applicare il;3;spesso non si può; 3
studenti; 5;e colleghi;3;si è spesso;3;che sono state contagiate; 2
contatto; 4;è spesso;3;si può applicare;3;contagiate addetti alle pulizie; 2
distanziamento; 4;e studenti;3;spesso non si;3;in contatto con colleghi; 2
possibile; 4;il distanziamento;3;addetti alle pulizie;2;persone che sono state; 2
può; 4;in contatto;3;che sono state;2;si persone che sono; 2
applicare; 3;non si;3;contagiate addetti alle;2;sono state contagiate addetti; 2
corrieri; 3;persone che;3;contatto con colleghi;2;state contagiate addetti alle; 2
credo; 3;può applicare;3;persone che sono;2;a frequentare lo studio; 1
quando; 3;si è;3;si persone che;2;a rischio e quindi; 1
sociale; 3;si può;3;sono state contagiate;2;al lavoro non più; 1
spesso; 3;spesso non;3;spero di no;2;al rientro in ufficio; 1
addetti; 2;addetti alle;2;state contagiate addetti;2;alcune attività lavorative per; 1
attività; 2;alle pulizie;2;a frequentare lo;1;attività lavorative per ora; 1
auspicabilmente; 2;auspicabilmente no;2;a rischio e;1;attività quando verranno diminuite; 1
contagiate; 2;che sono;2;al lavoro non;1;che non tornerò in; 1
essere; 2;clienti corrieri;2;al momneto no;1;che possono essere contaminate; 1
lavoro; 2;clienti e;2;al rientro in;1;chi lo è e; 1
necessario; 2;colleghi pazienti;2;alcune attività lavorative;1;ci saranno persone che; 1
ora; 2;con colleghi;2;allo stato no;1;clienti colleghi e fornitori; 1
penso; 2;contagiate addetti;2;attività lavorative per;1;colleghi che frequentano l'ufficio; 1
potenzialmente; 2;in ufficio;2;attività quando verranno;1;colleghi e spostamenti con; 1
pulizie; 2;pazienti colleghi;2;caso solo colleghi;1;colleghi non è necessario; 1
solo; 2;per il;2;che frequentano l'ufficio;1;colleghi per svolgere alcune; 1
spero; 2;per ora;2;che non tornerò;1;colleghi se si decidera; 1
state; 2;si colleghi;2;che possono essere;1;colleghi studenti partner d; 1
tornerò; 2;si i;2;chi lo è;1;con colleghi non è; 1
ufficio; 2;si persone;2;ci saranno persone;1;con colleghi per svolgere; 1
utenti; 2;sono state;2;clienti colleghi e;1;con i clienti e; 1
aiuta; 1;spero di;2;clienti corrieri colleghi;1;con la ripresa delle; 1
alcune; 1;state contagiate;2;clienti e colkeghi;1;contatto con colleghi non; 1
azienda; 1;a frequentare;1;clienti e colleghi;1;contatto con colleghi per; 1
caso; 1;a rischio;1;clienti fornitori corrieri;1;contatto con il corriere; 1
colkeghi; 1;al lavoro;1;colleghi che frequentano;1;cosa deciderà l'ateneo nelle; 1
