unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
riunioni;20;con colleghi;5;bisogno di aiuto;3;che hanno bisogno di;3
attività;17;assistenza sanitaria;3;che hanno bisogno;3;hanno bisogno di aiuto;3
lavoro;11;attività clinica;3;hanno bisogno di;3;persone che hanno bisogno;3
colleghi; 9;attività di;3;persone che hanno;3;attività di laboratorio e;2
assistenza; 7;bisogno di;3;attività di laboratorio;2;10 giorni abbiamo saputo;1
collaborazione; 6;che hanno;3;di laboratorio e;2;a breve le attività;1
ufficio; 6;con clienti;3;in ambienti chiusi;2;a contatto con clienti;1
clienti; 5;di aiuto;3;riunioni di lavoro;2;abbiamo saputo che era;1
colloqui; 5;di lavoro;3;10 giorni abbiamo;1;accompagnano i bambini presso;1
parlare; 5;hanno bisogno;3;a breve le;1;acquisto di materiale dai;1
assistenziale; 4;persone che;3;a contatto con;1;affluenza nei locali della;1
clinica; 4;riunioni e;3;a procedurre chirurgiche;1;al paziente e parlare;1
incontri; 4;ambienti chiusi;2;a visita oculistica;1;allontanare tutti dall'ambiente e;1
meeting; 4;assistenza medica;2;abbiamo saputo che;1;altezza pressione arteriosa scarico;1
visita; 4;attività assistenziale;2;accompagnano i bambini;1;ambienti chiusi con clienti;1
visite; 4;collaborazione per;2;acquisto di materiale;1;ambienti chiusi o aperti;1
aiuto; 3;con i;2;affluenza nei locali;1;anche loro esposti e;1
bisogno; 3;di laboratorio;2;al paziente e;1;arteriosa scarico dei loro;1
condivisione; 3;di sicurezza;2;allontanare tutti dall'ambiente;1;assistenza medica collaborazione con;1
distanza; 3;ed esperimenti;2;altezza pressione arteriosa;1;assistenziale colleghi e operatori;1
lezioni; 3;in ambienti;2;altro personale sanitario;1;attenzione utilizzo dispositivi di;1
medica; 3;in aula;2;ambienti chiusi con;1;attività clinica assistenziale colleghi;1
nessuna; 3;laboratorio e;2;ambienti chiusi o;1;attività clinica che può;1
pazienti; 3;lavoro in;2;anche loro esposti;1;attività clinica di cui;1
persone; 3;pazienti da;2;arteriosa scarico dei;1;attività di supporto informazione;1
sanitaria; 3;riunioni di;2;assistenza medica collaborazione;1;attività legate al lavoro;1
ambienti; 2;riunioni o;2;assistenziale colleghi e;1;attività operative organizzazione di;1
aula; 2;scambi di;2;attenzione utilizzo dispositivi;1;audiovisive in ambienti chiusi;1
brevi; 2;visite mediche;2;attiva e passiva;1;aula con gli studenti;1
chiusi; 2;10 giorni;1;attività clinica assistenziale;1;bambini presso il nostro;1
colloquio; 2;a breve;1;attività clinica che;1;biologici utilizzati per l;1
comunicazioni; 2;a contatto;1;attività clinica di;1;bisognerà utilizzare il dpi;1
contatto; 2;a distanza;1;attività di supporto;1;breve le attività di;1
controllo; 2;a procedurre;1;attivita di ufficio;1;brevi incontri con colleghi;1
distanziamento; 2;a visita;1;attività legate al;1;campioni biologici utilizzati per;1
esperimenti; 2;abbiamo saputo;1;attività operative organizzazione;1;caregivers che accompagnano i;1
fornitori; 2;accompagnano i;1;attività terapeutiche riunioni;1;che accompagnano i bambini;1
informazioni; 2;acquisto di;1;audiovisive in ambienti;1;che era in ospedale;1
laboratorio; 2;affluenza nei;1;aula con gli;1;che può comportare il;1
mediche; 2;al lavoro;1;bambini presso il;1;che riprendano a breve;1
normali; 2;al paziente;1;bancomat per pagamenti;1;che si occupa di;1
organizzazione; 2;allontanare tutti;1;biologici utilizzati per;1;che sono risultati positivi;1
ospedale; 2;altezza pressione;1;bisognerà utilizzare il;1;che un cliente sia;1
personale; 2;altri tecnivi;1;breve le attività;1;chiusi con clienti e;1
scambi; 2;altro personale;1;brevi a distanza;1;chuedere la distanza e;1
scambio; 2;anche loro;1;brevi incontri con;1;cliente sia venuto in;1
sicurezza; 2;arteriosa scarico;1;campioni biologici utilizzati;1;clienti che sono risultati;1
soldi; 2;assistenziale colleghi;1;caregivers che accompagnano;1;clienti clienti che sono;1
10; 1;attenzione utilizzo;1;che accompagnano i;1;clienti e collaboratori possibilità;1
accompagnano; 1;attiva e;1;che era in;1;clinica assistenziale colleghi e;1
acquisto; 1;attività bancarie;1;che può comportare;1;clinica che può comportare;1
affluenza; 1;attivita di;1;che riprendano a;1;clinica di cui mi;1
allontanare; 1;attività finanziaria;1;che si occupa;1;colalborare o prestare assistenza;1
altezza; 1;attività fisica;1;che sono risultati;1;collaborare con altri tecnivi;1
altri; 1;attività legate;1;che un cliente;1;collaboratori possibilità di riprese;1
altro; 1;attività operative;1;chiusi con clienti;1;collaborazione con colleghi rapporti;1
aperti; 1;attività ordinaria;1;chiusi o aperti;1;collaborazione nei vari progetti;1
arteriosa; 1;attività sanitarie;1;chuedere la distanza;1;collaborazione per lo svolgimento;1
ascoltarle; 1;attività terapeutiche;1;cliente sia venuto;1;collaborazione per testing sperimentale;1
attenzione; 1;attività vscolastiche;1;clienti che sono;1;colleghi anche loro esposti;1
attiva; 1;audiovisive in;1;clienti clienti che;1;colleghi e operatori potenzialmente;1
attivita; 1;aula con;1;clienti e collaboratori;1;colleghi lezioni in aula;1
audiovisive; 1;aula insieme;1;clinica assistenziale colleghi;1;colleghi rapporti con fornitori;1
bambini; 1;bambini presso;1;clinica che può;1;colloqui condivisione di attività;1
banca; 1;bancomat per;1;clinica di cui;1;comportare il contatto diretto;1
bancarie; 1;biologici utilizzati;1;colalborare o prestare;1;con clienti clienti che;1
bancomat; 1;bisognerà utilizzare;1;collaborare con altri;1;con clienti e collaboratori;1
biologici; 1;breve le;1;collaboratori possibilità di;1;con colleghi anche loro;1
bisognerà; 1;brevi a;1;collaborazione con colleghi;1;con colleghi rapporti con;1
breve; 1;brevi incontri;1;collaborazione nei vari;1;con fornitori di servizi;1
campioni; 1;campioni biologici;1;collaborazione per lo;1;con i colleghi lezioni;1
caregivers; 1;caregivers che;1;collaborazione per testing;1;con i pazienti acquisto;1
casa; 1;casa lavoro;1;colleghi anche loro;1;condivisione degli spazi con;1
chirurgiche; 1;che accompagnano;1;colleghi e operatori;1;condivisione di attività sanitarie;1
chuedere; 1;che era;1;colleghi lezioni in;1;condiviso sul versante organizzativo;1
cliente; 1;che può;1;colleghi rapporti con;1;confrontarmi e porre domande;1
clinico; 1;che riprendano;1;collocare nei reparti;1;consegna controllo documenti conto;1
colalborare; 1;che si;1;colloqui condivisione di;1;consegne di campioni biologici;1
collaborare; 1;che sono;1;colloqui e riunioni;1;contatti normali per lavoro;1
collaboratori; 1;che un;1;colloqui udienze mediazioni;1;contatto con clienti clienti;1
collocare; 1;chiusi con;1;colloquio clinico dicenze;1;controllo documenti conto soldi;1
comportare; 1;chiusi o;1;comportare il contatto;1;controllo sul rispetto delle;1
condiviso; 1;chuedere la;1;comunicazioni da ufficio;1;da collocare nei reparti;1
confrontarci; 1;ci lavoro;1;con altri tecnivi;1;da dm e dal;1
confrontarmi; 1;cliente sia;1;con clienti clienti;1;da noi e dopo;1
consegna; 1;clienti che;1;con clienti e;1;da sottoporre a procedurre;1
consegne; 1;clienti clienti;1;con colleghi anche;1;dall'ambiente e uso mascherina;1
consulenza; 1;clienti e;1;con colleghi rapporti;1;degli spazi con i;1
contatti; 1;clinica assistenziale;1;con fornitori di;1;dell'isolamento è successo che;1
conto; 1;clinica che;1;con gli studenti;1;delle limitazioni nello spostamento;1
controlleria; 1;clinica di;1;con i colleghi;1;di campioni biologici utilizzati;1
conversazioni; 1;clinico dicenze;1;con i pazienti;1;di cui mi occupo;1
corsi; 1;col medico;1;condivisione degli spazi;1;di informazioni lavorative mantenendo;1
covid; 1;colalborare o;1;condivisione di attività;1;di laboratorio e didattica;1
dall'ambiente; 1;collaborare con;1;condiviso sul versante;1;di laboratorio e ufficio;1
dell'assistenza; 1;collaboratori possibilità;1;confrontarci sull'attività lavorativa;1;di lavoro spostamenti casa;1
dell'isolamento; 1;collaborazione con;1;confrontarmi e porre;1;di materiale dai fornitori;1
dell’attività; 1;collaborazione nei;1;consegna controllo documenti;1;di riprese audiovisive in;1
descritto; 1;collaborazione riunioni;1;consegne di campioni;1;di sicurezza previste da;1
dialisi; 1;colleghi anche;1;contatti normali per;1;di sicurezza se possibile;1
dicenze; 1;colleghi e;1;contatto con clienti;1;di supporto informazione controlleria;1
didattica; 1;colleghi lezioni;1;controllo documenti conto;1;di tenere i nostri;1
diretto; 1;colleghi rapporti;1;controllo sul rispetto;1;dispositivi di sicurezza se;1
discutere; 1;collocare nei;1;corsi di formazione;1;distanza e non permettere;1
dispositivi; 1;colloqui condivisione;1;cui mi occupo;1;dm e dal nostro;1
dm; 1;colloqui e;1;da collocare nei;1;dopo 10 giorni abbiamo;1
documenti; 1;colloqui udienze;1;da dm e;1;dpi e rispettare il;1
domande; 1;colloquio clinico;1;da noi e;1;e altro personale sanitario;1
dopo; 1;come me;1;da sottoporre a;1;e bisognerà utilizzare il;1
dovrò; 1;comportare il;1;dal nostro ospedale;1;e collaboratori possibilità di;1
dpi; 1;comunicazioni da;1;dall'ambiente e uso;1;e corsi di formazione;1
esame; 1;comunicazioni informazioni;1;degli spazi con;1;e dal nostro ospedale;1
esposti; 1;con altri;1;dei loro reflettometri;1;e dopo 10 giorni;1
eventi; 1;con covid;1;del rischio infettivo;1;e i maneggiare i;1
fare; 1;con fornitori;1;dell'isolamento è successo;1;e non permettere affluenza;1
farmaci; 1;con gli;1;delle limitazioni nello;1;e operatori potenzialmente portatori;1
figli; 1;condivisione degli;1;di attività sanitarie;1;e parlare col medico;1
finanziaria; 1;condivisione di;1;di campioni biologici;1;è probabile che riprendano;1
fisica; 1;condivisione ufficio;1;di cui mi;1;e problem solving condiviso;1
fisico; 1;condiviso sul;1;di informazioni lavorative;1;e rispettare il distanziamento;1
fisioterapia; 1;confrontarci sull'attività;1;di lavoro spostamenti;1;è successo che un;1
formativo; 1;confrontarmi e;1;di materiale dai;1;e tentata vendita con;1
formazione; 1;consegna controllo;1;di riprese audiovisive;1;e ufficio e bisognerà;1
fotnitura; 1;consegne di;1;di sicurezza previste;1;e uso mascherina e;1
gebitori; 1;consulenza informatica;1;di sicurezza se;1;ed altezza pressione arteriosa;1
già; 1;contatti normali;1;di squadra colleghi;1;ed esame obiettivo peso;1
giornata; 1;contatto con;1;di supporto informazione;1;era in ospedale ricoverato;1
giorni; 1;contatto diretto;1;di tenere i;1;esame obiettivo peso ed;1
giusta; 1;conto soldi;1;dispositivi di sicurezza;1;esposti e altro personale;1
gruppo; 1;controllo documenti;1;distanza e non;1;faccio allontanare tutti dall'ambiente;1
guanti; 1;controllo sul;1;dm e dal;1;fare rx e tc;1
infettivo; 1;corsi di;1;documenti conto soldi;1;figli per una parte;1
informatica; 1;cui mi;1;dopo 10 giorni;1;fisioterapia con i pazienti;1
informazione; 1;da collocare;1;dpi e rispettare;1;gebitori o caregivers che;1
insieme; 1;da dm;1;e altro personale;1;già venuti a contatto;1
interaizone; 1;da noi;1;e bisognerà utilizzare;1;giorni abbiamo saputo che;1
interazione; 1;da sottoporre;1;e collaboratori possibilità;1;i bambini presso il;1
interazioni; 1;da ufficio;1;e corsi di;1;i colleghi lezioni in;1
interviste; 1;dai fornitori;1;e dal nostro;1;i gebitori o caregivers;1
lab; 1;dal nostro;1;e dopo 10;1;i maneggiare i soldi;1
lavorare; 1;dall'ambiente e;1;e i maneggiare;1;i nostri figli per;1
lavorativa; 1;degli spazi;1;e non permettere;1;i pazienti acquisto di;1
lavorative; 1;dei loro;1;e operatori potenzialmente;1;i prodotti e i;1
lavori; 1;del rischio;1;e parlare col;1;il dpi e rispettare;1
legate; 1;dell'isolamento è;1;e porre domande;1;il personale che si;1
limitazioni; 1;dell’attività assistenziale;1;è probabile che;1;in ambienti chiusi con;1
locali; 1;della banca;1;e problem solving;1;in ambienti chiusi o;1
lontano; 1;della giornata;1;e rispettare il;1;in aula con gli;1
maneggiare; 1;delle limitazioni;1;è successo che;1;in ospedale ricoverato con;1
mantenendo; 1;descritto sopra;1;e tentata vendita;1;in ufficio da noi;1
mascherina; 1;di attività;1;e ufficio e;1;incontri personali in ambienti;1
