unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
sì;29;non so;6;non lo so;3;a lungo andare metterebbe;1
no;12;di sì;3;in modo che;2;a prepararci per future;1
forse;10;in modo;3;nel mio caso;2;a rischio il mio;1
so; 9;lo so;3;penso di sì;2;a vo in veneto;1
certo; 6;mio lavoro;3;spero di si;2;accadendo credo si debba;1
credo; 6;non credo;3;3 5 years;1;ai non ne percepisco;1
spero; 6;non lo;3;a lungo andare;1;aiutarci a prepararci per;1
essere; 5;si forse;3;a prepararci per;1;al primo sintomo o;1
lavoro; 4;assolutamente si;2;a rischio il;1;al sospetto di un;1
modo; 4;di si;2;a vo in;1;allo stesso tempo sono;1
penso; 4;il mio;2;accadendo credo si;1;anche le problematiche di;1
sicuramente; 4;in quanto;2;ai non ne;1;anche se in maniera;1
può; 3;la tecnologia;2;aiutarci a prepararci;1;andar via non si;1
tecnologia; 3;mio caso;2;al primo sintomo;1;andare metterebbe a rischio;1
assolutamente; 2;modo che;2;al sospetto di;1;anzi con tono di;1
caso; 2;nel mio;2;alfabetizzazione sociale tecnologica;1;associata rilevamento della saturazione;1
certamente; 2;non saprei;2;allo stesso tempo;1;banking può ridurre il;1
contatti; 2;penso di;2;anche in islanda;1;but not in the;1
debba; 2;rilevamento della;2;anche le problematiche;1;capillare la tecnologia necessaria;1
didattica; 2;sì ma;2;anche se in;1;caso non credo in;1
future; 2;spero di;2;andar via non;1;che a vo in;1
l'attività; 2;3 5;1;andare metterebbe a;1;che gli ospedali non;1
l'esperienza; 2;5 years;1;anzi con tono;1;che l intelligenza umana;1
necessario; 2;a distanza;1;associata rilevamento della;1;che la tutela dei;1
parzialmente; 2;a lungo;1;banking può ridurre;1;che loro non sono;1
potenzialmente; 2;a prepararci;1;but not in;1;che non hanno il;1
potrebbe; 2;a rischio;1;capillare la tecnologia;1;che tutti possano essere;1
ridurre; 2;a vo;1;caso non credo;1;chi è un potenziale;1
rilevamento; 2;accadendo credo;1;caso solo parzialmente;1;ci vuole una educazione;1
sapere; 2;ai non;1;che a vo;1;cioè l'home banking può;1
saprei; 2;aiutarci a;1;che gli ospedali;1;colpiti da virus non;1
scolastico; 2;al primo;1;che l intelligenza;1;come invece sta accadendo;1
situazioni; 2;al sospetto;1;che la tutela;1;comportano essenzialmente dei contatti;1
solo; 2;alfabetizzazione sociale;1;che loro non;1;comunque essere posti in;1
strategia; 2;allo stesso;1;che non hanno;1;con associata rilevamento della;1
tempo; 2;anche in;1;che tutti possano;1;con personale scolastico o;1
vedere; 2;anche le;1;chi è un;1;con persone potenzialmente malate;1
vogliono; 2;anche se;1;ci vuole una;1;con questa pandemia potrebbe;1
3; 1;andar via;1;cioè l'home banking;1;con tono di sfida;1
5; 1;andare metterebbe;1;colpiti da virus;1;con una persona malata;1
