unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
robot;19;per la;9;in modo da;4;aiutare nel definire le;3
essere;12;a distanza;7;aiutare nel definire;3;avere previsioni per aiutare;3
persone;12;in modo;7;avere previsioni per;3;contagio in modo da;3
no;11;da remoto;6;comportamento e prevenzione;3;da avere previsioni per;3
distanza; 9;di contagio;6;contagio in modo;3;definire le regole di;3
remoto; 9;non so;6;da avere previsioni;3;di comportamento e prevenzione;3
attività; 8;robot per;5;definire le regole;3;di contagio in modo;3
contatti; 8;tutti gli;5;di comportamento e;3;in modo da avere;3
modo; 8;aiutare nel;4;di contagio in;3;le regole di comportamento;3
so; 8;di lavoro;4;la possibilità di;3;modelli di contagio in;3
aiutare; 7;la presenza;4;le regole di;3;modo da avere previsioni;3
app; 7;modo da;4;modelli di contagio;3;nel definire le regole;3
disinfezione; 7;possibilità di;4;modo da avere;3;per aiutare nel definire;3
lavoro; 7;possono aiutare;4;nel definire le;3;previsioni per aiutare nel;3
possono; 7;sistemi di;4;per aiutare nel;3;regole di comportamento e;3
contagio; 6;ad esempio;3;previsioni per aiutare;3;sviluppare modelli di contagio;3
droni; 6;automatizzare percorsi;3;regole di comportamento;3;beni di prima necessità;2
robotica; 6;avere previsioni;3;robot per la;3;che oggi la tecnologia;2
sistemi; 6;comportamento e;3;si automatizzare percorsi;3;di tutti gli strumenti;2
tecnologia; 6;contagio in;3;sviluppare modelli di;3;dotando tutti gli operatori;2
automatizzare; 5;da avere;3;app dei contagi;2;gli strumenti che oggi;2
avere; 5;da casa;3;beni di prima;2;implementando l’utilizzo di tutti;2
luoghi; 5;definire le;3;che oggi la;2;l’utilizzo di tutti gli;2
materiale; 5;delle persone;3;di app per;2;la presenza di persone;2
pazienti; 5;di comportamento;3;di prima necessità;2;la tecnologia offre dotando;2
piattaforme; 5;di materiale;3;di robot per;2;offre dotando tutti gli;2
potenzialmente; 5;di persone;3;di tutti gli;2;oggi la tecnologia offre;2
potrebbe; 5;di robot;3;dotando tutti gli;2;strumenti che oggi la;2
presenza; 5;droni per;3;gli strumenti che;2;tecnologia offre dotando tutti;2
strumenti; 5;e prevenzione;3;implementando l’utilizzo di;2;tutti gli strumenti che;2
tamponi; 5;i pazienti;3;in 3d di;2;1 a 1 a;1
utile; 5;in grado;3;in grado di;2;1 a pagamento le;1
ambienti; 4;la possibilità;3;l’utilizzo di tutti;2;2 dove potremmo quindi;1
ambito; 4;la robotica;3;la presenza di;2;2 giorni e pertanto;1
automazione; 4;la tecnologia;3;la tecnologia offre;2;2 mascherine consegnare dalla;1
casa; 4;le regole;3;offre dotando tutti;2;3d di esercizi movimenti;1
controllo; 4;modelli di;3;oggi la tecnologia;2;3d di materiale utile;1
esempio; 4;nel definire;3;per la consegna;2;5g possibilita di mandare;1
monitoraggio; 4;per aiutare;3;per la disinfezione;2;a 1 a pagamento;1
necessità; 4;previsioni per;3;posti di lavoro;2;a basso costo in;1
possibilità; 4;regole di;3;presenza di persone;2;a chiunque debba essere;1
ridurre; 4;sarebbe utile;3;procedure di disinfezione;2;a chiunque entri in;1
spazi; 4;si automatizzare;3;strumenti che oggi;2;a determinare con certezza;1
sviluppare; 4;sviluppare modelli;3;tecnologia offre dotando;2;a distanza dei cantieri;1
telemedicina; 4;1 a;2;tutti gli operatori;2;a distanza igiene pazienti;1
tramite; 4;3d di;2;tutti gli strumenti;2;a distanza mancanza di;1
virus; 4;a chiunque;2;uso di robot;2;a distanza mediante trasmissione;1
2; 3;a domicilio;2;1 a 1;1;a domicilio di qualsiasi;1
attraverso; 3;al posto;2;1 a pagamento;1;a domicilio i pazienti;1
auto; 3;alla tecnologia;2;2 dove potremmo;1;a guida autonoma follower;1
autonome; 3;app dei;2;2 giorni e;1;a letto con meno;1
check; 3;app per;2;2 mascherine consegnare;1;a limitare la presenza;1
comportamento; 3;attività di;2;3d di esercizi;1;a livello della finestra;1
consegna; 3;ausilio di;2;3d di materiale;1;a pagamento le banche;1
consegne; 3;beni di;2;5g possibilita di;1;a questo tipo di;1
contagi; 3;che ci;2;a 1 a;1;a rilascio comandato per;1
covid; 3;che oggi;2;a basso costo;1;a rischio per la;1
dati; 3;che possono;2;a chiunque debba;1;a svolgere ove possibili;1
definire; 3;che si;2;a chiunque entri;1;abbiamo questa nomea in;1
diagnosi; 3;check out;2;a comando vocale;1;accessibili e obbligatori per;1
didattica; 3;con i;2;a determinare con;1;accessibili quindi le 2;1
dispositivi; 3;contatti con;2;a determinate persone;1;accesso agli operatori e;1
distribuzione; 3;dei contagi;2;a distanza dei;1;accoglienza e sistemazione camere;1
domicilio; 3;dei contatti;2;a distanza igiene;1;accudire un animale domestico;1
dpi; 3;del virus;2;a distanza mancanza;1;acquistarli dove ci sia;1
gestione; 3;di app;2;a distanza mediante;1;ad esempio col 5g;1
grado; 3;di disinfezione;2;a domicilio di;1;ad esempio macchine automatiche;1
https; 3;di piattaforme;2;a domicilio i;1;ad esempio un modo;1
infette; 3;di prima;2;a guida autonoma;1;ad insegnare oppure che;1
mezzi; 3;di tutti;2;a letto con;1;adoperino o ad insegnare;1
modelli; 3;dotando tutti;2;a limitare la;1;aerosol ventilazione mininvasiva o;1
oggetti; 3;dovranno essere;2;a livello della;1;affidabili certo per colpa;1
operatori; 3;e degli;2;a pagamento le;1;affidabili per minimizzare l'esposizione;1
ospedali; 3;e di;2;a questo tipo;1;affollati per il loro;1
parametri; 3;e la;2;a rilascio comandato;1;affollati supermercati l uso;1
parte; 3;e nella;2;a rischio per;1;agire di conseguenza sanificando;1
paziente; 3;e non;2;a svolgere ove;1;agli hub senza digitare;1
percorsi; 3;gestione dei;2;abbiamo questa nomea;1;agli operatori e brousere;1
potenziamento; 3;gli operatori;2;accessibili e obbligatori;1;agli ospedali raccolta di;1
potrebbero; 3;gli strumenti;2;accessibili quindi le;1;ai può essere usata;1
prevenzione; 3;grado di;2;accesso agli operatori;1;aiutare nel ricordare le;1
previsioni; 3;https www.chaibio.com;2;accoglienza e sistemazione;1;aiutare nella restrizione del;1
procedure; 3;implementando l’utilizzo;2;accudire un animale;1;aiutare nelle procedure di;1
produttivi; 3;in 3d;2;acquistarli dove ci;1;aiutare nello screening e;1
protezione; 3;in ambito;2;ad esempio col;1;aiuterebbe a limitare la;1
pulizia; 3;in remoto;2;ad esempio macchine;1;al minimo la permanenza;1
può; 3;in un;2;ad esempio un;1;al postino accudire un;1
quindi; 3;l’utilizzo di;2;ad insegnare oppure;1;al posto delle persone;1
regole; 3;la consegna;2;adoperino o ad;1;al virus una volta;1
rispetto; 3;la didattica;2;aerosol ventilazione mininvasiva;1;alcune attività manuali in;1
sanitarie; 3;la disinfezione;2;affidabili certo per;1;alcuni anche provati e.g;1
sistema; 3;la distribuzione;2;affidabili per minimizzare;1;alert per mantenere il;1
svolgere; 3;mezzi di;2;affollati per il;1;alert su news sanitarie;1
temperatura; 3;negli spazi;2;affollati supermercati l;1;all interno di un'azienda;1
tracciamento; 3;nei luoghi;2;agire di conseguenza;1;all'intelligenza artificiale per pianificare;1
tracciare; 3;non saprei;2;agli hub senza;1;alla disinfezione ogni volta;1
uso; 3;non sono;2;agli operatori e;1;alla robotica per automatizzare;1
1; 2;offre dotando;2;agli ospedali raccolta;1;alla semplice inquadratura statica;1
3d; 2;oggetti e;2;ai può essere;1;alla tecnologia di basso;1
accessibili; 2;oggi la;2;aiutare nel ricordare;1;alla tecnologia leggermente più;1
affidabili; 2;operazioni di;2;aiutare nella restrizione;1;alle presenze di persone;1
affollati; 2;parte di;2;aiutare nelle procedure;1;alle procedure di disinfezione;1
alert; 2;paziente contagiato;2;aiutare nello screening;1;allenamento patologie vascolari o;1
altre; 2;per il;2;aiuterebbe a limitare;1;allo studente che segue;1
altri; 2;per ridurre;2;al covid 19;1;alterazione temperatura cibo allenamento;1
analisi; 2;per tutti;2;al minimo la;1;altre attività come le;1
applicazione; 2;permetta di;2;al postino accudire;1;altre interfacce remote basate;1
assistenza; 2;posti di;2;al posto delle;1;altri dispositivi porte ascensori;1
ausilio; 2;potenzialmente infette;2;al posto mio;1;altri parametri per spiegare;1
automatica; 2;potrebbe essere;2;al virus una;1;altro momento di contagio;1
automatiche; 2;potrebbero ridurre;2;alcune attività manuali;1;alunni e non far;1
automatizzata; 2;presenza di;2;alcuni anche provati;1;ambienti di lavoro laboratori;1
banche; 2;prima necessità;2;alert per mantenere;1;ambienti in modo di;1
basso; 2;procedure di;2;alert su news;1;ambienti remoti permettendo non;1
bene; 2;pulizia automatica;2;all interno di;1;ambito e credo che;1
beni; 2;qualcosa che;2;all'intelligenza artificiale per;1;ambito manufatturiero e nella;1
capacità; 2;robot che;2;alla disinfezione ogni;1;ambito medico ad esempio;1
carrelli; 2;robot con;2;alla robotica per;1;ambito sanitario qualcosa che;1
casi; 2;robot di;2;alla semplice inquadratura;1;anagrafe comunale contatti familiari;1
chiunque; 2;robot in;2;alla tecnologia di;1;analisi dei tamponi pcr;1
cibo; 2;robotica per;2;alla tecnologia leggermente;1;analisi per trovare vaccino;1
collegamenti; 2;spazi produttivi;2;alle presenze di;1;anche a letto con;1
comando; 2;strumenti che;2;alle procedure di;1;anche fisicamente portare piccoli;1
comportamenti; 2;tamponi tamponi;2;allenamento patologie vascolari;1;anche non esposta al;1
computer; 2;tecnologia offre;2;allo studente che;1;anche provati e.g double;1
comunicazione; 2;telecamere per;2;alterazione temperatura cibo;1;anche quando non posso;1
consegnare; 2;tracciare attraverso;2;altre attività come;1;anche semplici tablet su;1
contagiato; 2;un robot;2;altre interfacce remote;1;anche un monitoraggio delle;1
contaminati; 2;uso di;2;altri dispositivi porte;1;animale domestico scambiare gesti;1
contatto; 2;2 dove;1;altri parametri per;1;anti replicazione con igienizzazione;1
corretti; 2;2 giorni;1;altro momento di;1;antiappannanti visiere resistenti alle;1
diffusione; 2;2 mascherine;1;alunni e non;1;anticorpale a chiunque entri;1
digitali; 2;5g possibilita;1;ambienti di lavoro;1;antiinfortunistici graduati secondo le;1
dotando; 2;a 1;1;ambienti in modo;1;app che ci permettano;1
dovranno; 2;a basso;1;ambienti remoti permettendo;1;app contactless per operazioni;1
e.g; 2;a comando;1;ambito e credo;1;app di tracciamento dei;1
effettuare; 2;a determinare;1;ambito manufatturiero e;1;app per banche poste;1
esistono; 2;a determinate;1;ambito medico ad;1;app per smartphones la;1
evitare; 2;a guida;1;ambito sanitario qualcosa;1;apparecchiature a distanza igiene;1
flussi; 2;a letto;1;anagrafe comunale contatti;1;applicazione di protocolli linee;1
fornire; 2;a limitare;1;analisi dei tamponi;1;applicazione per svolgere attività;1
guida; 2;a livello;1;analisi per trovare;1;appuntamenti prestazioni automatiche strumenti;1
implementando; 2;a pagamento;1;anche a letto;1;aprendo e chiudendo le;1
implementare; 2;a questo;1;anche fisicamente portare;1;aprire la porta al;1
incrementare; 2;a rilascio;1;anche non esposta;1;aprirsi con lettore ottico;1
infetti; 2;a rischio;1;anche provati e.g;1;artificiale per pianificare la;1
l'utilizzo; 2;a svolgere;1;anche quando non;1;ascensore aprendo e chiudendo;1
l’utilizzo; 2;abbiamo questa;1;anche semplici tablet;1;ascensori semafori diagnostica a;1
lavorando; 2;accessibili e;1;anche un monitoraggio;1;aspirazione barriere durante manovre;1
livello; 2;accessibili quindi;1;animale domestico scambiare;1;assembramenti nei luoghi produttivi;1
locali; 2;accesso agli;1;anti replicazione con;1;assistenza e telemedicina in;1
macchine; 2;accoglienza e;1;antiappannanti visiere resistenti;1;assistenza in quanto i;1
mascherine; 2;accudire un;1;anticorpale a chiunque;1;assistere delle persone da;1
medico; 2;acquistarli dove;1;antiinfortunistici graduati secondo;1;attività che non richiedono;1
meno; 2;ad insegnare;1;app che ci;1;attività cliniche tramite robotica;1
miglior; 2;adoperino o;1;app contactless per;1;attività collaborative semplici dove;1
migliore; 2;aerosol ventilazione;1;app di tracciamento;1;attività come le consegne;1
