unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
italia;81;54100 italia; 6;00133 roma italia; 3;62014 corridonia mc italia; 1
54100.0;10;roma italia; 4;20100 milano italia; 1;NA;NA
54100; 6;00133 roma; 3;62014 corridonia mc; 1;NA;NA
roma; 5;07100 italia; 3;corridonia mc italia; 1;NA;NA
06100; 4;20129 italia; 3;massa 54100 italia; 1;NA;NA
07100; 4;20147 italia; 3;roma italia 00171; 1;NA;NA
56124; 4;56021 italia; 3;schio 36015 italia; 1;NA;NA
00133; 3;56124 italia; 3;NA;NA;NA;NA
16100.0; 3;16139 italia; 2;NA;NA;NA;NA
20129; 3;20144 italia; 2;NA;NA;NA;NA
20135.0; 3;36015 italia; 2;NA;NA;NA;NA
20147; 3;56125 italia; 2;NA;NA;NA;NA
56021; 3;milano italia; 2;NA;NA;NA;NA
00161; 2;00100 italia; 1;NA;NA;NA;NA
00179; 2;00141 italia; 1;NA;NA;NA;NA
06121; 2;00168 italia; 1;NA;NA;NA;NA
16139; 2;00178 roma; 1;NA;NA;NA;NA
16163; 2;00179 italia; 1;NA;NA;NA;NA
17100.0; 2;01028 italia; 1;NA;NA;NA;NA
20100; 2;06100 italia; 1;NA;NA;NA;NA
20100.0; 2;06121 italia; 1;NA;NA;NA;NA
20133.0; 2;06123 perugia; 1;NA;NA;NA;NA
20144; 2;06126 italia; 1;NA;NA;NA;NA
36015; 2;06134 italia; 1;NA;NA;NA;NA
51100.0; 2;06137 italia; 1;NA;NA;NA;NA
56010.0; 2;10100 italia; 1;NA;NA;NA;NA
56125; 2;16128 italia; 1;NA;NA;NA;NA
56125.0; 2;16163 ge; 1;NA;NA;NA;NA
56126.0; 2;16163 italia; 1;NA;NA;NA;NA
70125.0; 2;20100 italia; 1;NA;NA;NA;NA
francia; 2;20100 milano; 1;NA;NA;NA;NA
milano; 2;20122 italia; 1;NA;NA;NA;NA
00100; 1;20123 italia; 1;NA;NA;NA;NA
00128; 1;20127 italia; 1;NA;NA;NA;NA
00139; 1;20128 italia; 1;NA;NA;NA;NA
00141; 1;20131 italia; 1;NA;NA;NA;NA
00168; 1;20135 italia; 1;NA;NA;NA;NA
00171; 1;20138 italia; 1;NA;NA;NA;NA
00178; 1;20146 italia; 1;NA;NA;NA;NA
00185; 1;26014 italia; 1;NA;NA;NA;NA
00197; 1;35100 italia; 1;NA;NA;NA;NA
01028; 1;35510 francia; 1;NA;NA;NA;NA
05100; 1;42043 italia; 1;NA;NA;NA;NA
06123; 1;50132 italia; 1;NA;NA;NA;NA
06126; 1;50134 italia; 1;NA;NA;NA;NA
06127; 1;53018 italia; 1;NA;NA;NA;NA
06132; 1;53100 italia; 1;NA;NA;NA;NA
06134; 1;55042 italia; 1;NA;NA;NA;NA
06137; 1;56017 italia; 1;NA;NA;NA;NA
09047; 1;56023 italia; 1;NA;NA;NA;NA
09172; 1;56043 italia; 1;NA;NA;NA;NA
10100; 1;56122 italia; 1;NA;NA;NA;NA
10133.0; 1;56123 italia; 1;NA;NA;NA;NA
13900.0; 1;56124 pisa; 1;NA;NA;NA;NA
16121.0; 1;56127 italia; 1;NA;NA;NA;NA
16128; 1;57125 italia; 1;NA;NA;NA;NA
16136.0; 1;57126 italia; 1;NA;NA;NA;NA
16146.0; 1;58100 italia; 1;NA;NA;NA;NA
19031.0; 1;62014 corridonia; 1;NA;NA;NA;NA
20010.0; 1;63023 italia; 1;NA;NA;NA;NA
20062.0; 1;80123 it; 1;NA;NA;NA;NA
20068.0; 1;80125 italia; 1;NA;NA;NA;NA
20093.0; 1;80135 italia; 1;NA;NA;NA;NA
20121.0; 1;81541 germania; 1;NA;NA;NA;NA
20122; 1;90570 finlandia; 1;NA;NA;NA;NA
20123; 1;corridonia mc; 1;NA;NA;NA;NA
20123.0; 1;francia 69210; 1;NA;NA;NA;NA
20127; 1;italia 00171; 1;NA;NA;NA;NA
20128; 1;italia 06132; 1;NA;NA;NA;NA
20131; 1;italia 85020; 1;NA;NA;NA;NA
20135; 1;massa 54100; 1;NA;NA;NA;NA
20138; 1;mc italia; 1;NA;NA;NA;NA
20141.0; 1;schio 36015; 1;NA;NA;NA;NA
20144.0; 1;NA;NA;NA;NA;NA;NA
20145.0; 1;NA;NA;NA;NA;NA;NA
20146; 1;NA;NA;NA;NA;NA;NA
20833.0; 1;NA;NA;NA;NA;NA;NA
21047.0; 1;NA;NA;NA;NA;NA;NA
22100.0; 1;NA;NA;NA;NA;NA;NA
26014; 1;NA;NA;NA;NA;NA;NA
35100; 1;NA;NA;NA;NA;NA;NA
35122.0; 1;NA;NA;NA;NA;NA;NA
35510; 1;NA;NA;NA;NA;NA;NA
37134.0; 1;NA;NA;NA;NA;NA;NA
39012.0; 1;NA;NA;NA;NA;NA;NA
42043; 1;NA;NA;NA;NA;NA;NA
43013.0; 1;NA;NA;NA;NA;NA;NA
43029.0; 1;NA;NA;NA;NA;NA;NA
48121.0; 1;NA;NA;NA;NA;NA;NA
50023.0; 1;NA;NA;NA;NA;NA;NA
50100.0; 1;NA;NA;NA;NA;NA;NA
50132; 1;NA;NA;NA;NA;NA;NA
50134; 1;NA;NA;NA;NA;NA;NA
50139.0; 1;NA;NA;NA;NA;NA;NA
53018; 1;NA;NA;NA;NA;NA;NA
53035.0; 1;NA;NA;NA;NA;NA;NA
53049.0; 1;NA;NA;NA;NA;NA;NA
53100; 1;NA;NA;NA;NA;NA;NA
53100.0; 1;NA;NA;NA;NA;NA;NA
55042; 1;NA;NA;NA;NA;NA;NA
55049.0; 1;NA;NA;NA;NA;NA;NA
56017; 1;NA;NA;NA;NA;NA;NA
56017.0; 1;NA;NA;NA;NA;NA;NA
56021.0; 1;NA;NA;NA;NA;NA;NA
56023; 1;NA;NA;NA;NA;NA;NA
56043; 1;NA;NA;NA;NA;NA;NA
56100.0; 1;NA;NA;NA;NA;NA;NA
56122; 1;NA;NA;NA;NA;NA;NA
56123; 1;NA;NA;NA;NA;NA;NA
56123.0; 1;NA;NA;NA;NA;NA;NA
56124.0; 1;NA;NA;NA;NA;NA;NA
56127; 1;NA;NA;NA;NA;NA;NA
57017.0; 1;NA;NA;NA;NA;NA;NA
57125; 1;NA;NA;NA;NA;NA;NA
57126; 1;NA;NA;NA;NA;NA;NA
57126.0; 1;NA;NA;NA;NA;NA;NA
58100; 1;NA;NA;NA;NA;NA;NA
59100.0; 1;NA;NA;NA;NA;NA;NA
60019.0; 1;NA;NA;NA;NA;NA;NA
62010.0; 1;NA;NA;NA;NA;NA;NA
62014; 1;NA;NA;NA;NA;NA;NA
63023; 1;NA;NA;NA;NA;NA;NA
63812.0; 1;NA;NA;NA;NA;NA;NA
63822.0; 1;NA;NA;NA;NA;NA;NA
