unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
attività;46;86 assistenza;44;86 assistenza sanitaria;44;72 ricerca scientifica e;28
assistenza;45;assistenza sanitaria;44;72 ricerca scientifica;28;ricerca scientifica e sviluppo;28
86;44;72 ricerca;28;ricerca scientifica e;28;74 attività professionali scientifiche;13
sanitaria;44;e sviluppo;28;scientifica e sviluppo;28;attività professionali scientifiche e;13
sviluppo;29;ricerca scientifica;28;74 attività professionali;13;professionali scientifiche e tecniche;13
72;28;scientifica e;28;attività professionali scientifiche;13;69 attività legali e; 8
ricerca;28;74 attività;13;professionali scientifiche e;13;70 attività di direzione; 8
scientifica;28;85 istruzione;13;scientifiche e tecniche;13;attività di direzione aziendali; 8
tecniche;19;attività professionali;13;69 attività legali; 8;attività legali e contabili; 8
professionali;15;e tecniche;13;70 attività di; 8;aziendali e di consulenza; 8
74;13;professionali scientifiche;13;attività di direzione; 8;contabili 70 attività di; 8
85;13;scientifiche e;13;attività legali e; 8;di direzione aziendali e; 8
istruzione;13;attività di;12;aziendali e di; 8;direzione aziendali e di; 8
scientifiche;13;installazione di;12;contabili 70 attività; 8;e contabili 70 attività; 8
installazione;12;di consulenza;10;di consulenza gestionale; 8;e di consulenza gestionale; 8
manutenzione;11;e di; 9;di direzione aziendali; 8;legali e contabili 70; 8
consulenza;10;69 attività; 8;direzione aziendali e; 8;33 riparazione manutenzione installazione; 6
riparazione; 9;70 attività; 8;e contabili 70; 8;43.2 installazione di impianti; 6
69; 8;attività legali; 8;e di consulenza; 8;64 a 66 attività; 6
70; 8;aziendali e; 8;legali e contabili; 8;66 attività finanziarie e; 6
altri; 8;consulenza gestionale; 8;33 riparazione manutenzione; 6;71 attività degli studi; 6
apparecchiature; 8;contabili 70; 8;43.2 installazione di; 6;a 66 attività finanziarie; 6
aziendali; 8;di direzione; 8;64 a 66; 6;a domicilio 43.2 installazione; 6
contabili; 8;direzione aziendali; 8;66 attività finanziarie; 6;altri lavori di costruzioni; 6
direzione; 8;e contabili; 8;71 attività degli; 6;apparecchiature a domicilio 43.2; 6
gestionale; 8;legali e; 8;a 66 attività; 6;architettura e d'ingegneria collaudi; 6
legali; 8;di macchine; 7;a domicilio 43.2; 6;attività degli studi di; 6
servizi; 8;servizi di; 7;altri lavori di; 6;attività finanziarie e assicurative; 6
macchine; 7;33 riparazione; 6;apparecchiature a domicilio; 6;collaudi ed analisi tecniche; 6
33; 6;43.2 installazione; 6;architettura e d'ingegneria; 6;d'ingegneria collaudi ed analisi; 6
43.2; 6;64 a; 6;attività degli studi; 6;da 64 a 66; 6
64; 6;66 attività; 6;attività finanziarie e; 6;degli studi di architettura; 6
66; 6;71 attività; 6;collaudi ed analisi; 6;di architettura e d'ingegneria; 6
71; 6;a 66; 6;costruzioni e installazioni; 6;di costruzioni e installazioni; 6
