unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
dipendenti;48;di ricerca;11;centro di ricerca;6;casa di cura accreditata;3
azienda;24;azienda ospedaliera; 9;azienda ospedaliera universitaria;4;e hardware per macchine;3
circa;17;centro di; 6;istituto di ricerca;4;hardware per macchine cnc;3
clienti;13;azienda sanitaria; 5;casa di cura;3;installa software e hardware;3
ricerca;13;dipendenti e; 4;di cura accreditata;3;produce installa software e;3
università;13;ditta individuale; 4;e hardware per;3;software e hardware per;3
ospedale;12;istituto di; 4;hardware per macchine;3;25 professionisti in consulenza;2
studio;11;ospedaliera universitaria; 4;installa software e;3;agenzia di comunicazione e;2
ospedaliera;10;10 dipendenti; 3;per macchine cnc;3;centro di ricerca circa;2
centro; 9;2 dipendenti; 3;produce installa software;3;di ricerca circa 50;2
clientela; 8;2000 dipendenti; 3;software e hardware;3;ente universitario studenti 100;2
sanitaria; 7;3000 dipendenti; 3;25 professionisti in;2;i nostri clienti sono;2
3000; 5;casa di; 3;3 soci e;2;professionisti in consulenza aziendale;2
aziende; 5;clienti sono; 3;agenzia di comunicazione;2;1.000 dipendenti clientela grossisti;1
individuale; 5;cura accreditata; 3;di comunicazione e;2;10 dipendenti e circa;1
istituto; 5;di cura; 3;di ricerca circa;2;100 avvocati e 45;1
lavoro; 5;di un; 3;dipendenti in italia;2;100 dipendenti clienti nazionali;1
software; 5;dipendenti in; 3;ente universitario studenti;2;12 mila dipendenti 15;1
100; 4;e hardware; 3;i nostri clienti;2;13 dipendenti dedicata a;1
5; 4;hardware per; 3;in consulenza aziendale;2;14 collaboratoti 2 dipendenti;1
7; 4;installa software; 3;nostri clienti sono;2;1400 dipendenti in italia;1
accreditata; 4;libero professionista; 3;professionisti in consulenza;2;15 tra dipendenti e;1
aziendale; 4;macchine cnc; 3;ricerca circa 50;2;2 dipendenti 7 soci;1
collaboratori; 4;per la; 3;studio professionale di;2;2 dipendenti nella sede;1
ditta; 4;per macchine; 3;tra dipendenti e;2;2000 dipendenti in totale;1
macchine; 4;produce installa; 3;universitario studenti 100;2;3 soci e 3;1
produce; 4;software e; 3;1 10 dipendenti;1;3 soci e 4;1
settore; 4;studio di; 3;1.000 dipendenti clientela;1;30 clienti istituzionali banche;1
soci; 4;studio professionale; 3;10 dipendenti e;1;30 dipendenti in italia;1
studenti; 4;25 professionisti; 2;100 avvocati e;1;3000 dipendenti tra sanitari;1
universitaria; 4;3 soci; 2;100 dipendenti clienti;1;35 dipendenti e oltre;1
universitario; 4;35 dipendenti; 2;12 mila dipendenti;1;40 dipendenti fornitura di;1
10; 3;40 dipendenti; 2;13 dipendenti dedicata;1;5 dioendenti oltre stagionali;1
15; 3;5 dipendenti; 2;14 collaboratoti 2;1;5 su verona diversi;1
2; 3;50 dipendenti; 2;1400 dipendenti in;1;7 pedemontana continuità assistenziale;1
2000; 3;600 dipendenti; 2;15 mln clienti;1;7 soci clientela di;1
3; 3;7 dipendenti; 2;15 tra dipendenti;1;80 persone tra dipendenti;1
50; 3;agenzia di; 2;2 dipendenti 4000;1;850000 clienti e 500;1
600; 3;circa 50; 2;2 dipendenti 7;1;a contatto con un;1
asl; 3;clientela di; 2;2 dipendenti nella;1;a istruzione su tecnolgie;1
casa; 3;clinica privata; 2;2000 dipendenti in;1;a maggioranza ente pubblico;1
cnc; 3;commerciale con; 2;30 clienti istituzionali;1;a nims che distribuisce;1
commercialisti; 3;comunicazione e; 2;30 dipendenti in;1;a pagamento circa 35;1
consulenza; 3;consulenza aziendale; 2;3000 dipendenti circa;1;a piccole imprese e;1
cura; 3;di comunicazione; 2;3000 dipendenti tra;1;a professionisti del settore;1
ente; 3;di ingegneria; 2;35 dipendenti e;1;a rennes di cui;1
farmacia; 3;di perugia; 2;40 dipendenti fornitura;1;a struttura tipologia clienti;1
hardware; 3;di roma; 2;5 dioendenti oltre;1;abbiamo 3 soci e;1
installa; 3;dipendenti circa; 2;5 su verona;1;abrasivi spa circa 1.000;1
legale; 3;ente universitario; 2;7 pedemontana continuità;1;accaierie inceneritori termovalorizzatori centrali;1
libero; 3;gli ospedali; 2;7 soci clientela;1;accoglienza per gli studenti;1
locale; 3;i clienti; 2;70.000 persone circa;1;agenti con cui collaboriamo;1
multinazionale; 3;i nostri; 2;80 persone tra;1;agricola frutticultura ortaggi mercati;1
numero; 3;in consulenza; 2;800 dipendenti circa;1;al settore lapideo con;1
oltre; 3;in italia; 2;850000 clienti e;1;albergo trivulzio chirurgia in;1
persone; 3;lavoro per; 2;a contatto con;1;all'istituto di ricerca irisa;1
piccole; 3;nostri clienti; 2;a istruzione su;1;alla quale fanno capo;1
privata; 3;ospedale con; 2;a maggioranza ente;1;alla raccolta delle risorse;1
professionale; 3;policlinico universitario; 2;a nims che;1;alle impresa in tema;1
professionista; 3;poste italiane; 2;a pagamento circa;1;ambito cd tax legal;1
professionisti; 3;professionale di; 2;a piccole imprese;1;americana 30 dipendenti in;1
robotica; 3;professionisti in; 2;a professionisti del;1;anche con riferimento alla;1
scuola; 3;ricerca circa; 2;a rennes di;1;anche di ristrutturazione aziendale;1
struttura; 3;scuola primaria; 2;a struttura tipologia;1;anche in rsa con;1
universita; 3;soci clientela; 2;abbiamo 3 soci;1;and space circa 10k;1
1000; 2;soci e; 2;abrasivi spa circa;1;appartenente al settore lapideo;1
25; 2;società di; 2;accaierie inceneritori termovalorizzatori;1;architettura 3 soci e;1
30; 2;studenti 100; 2;accoglienza per gli;1;artificiale i clienti sono;1
35; 2;studio legale; 2;agenti con cui;1;asl assistenza all'infanzia 10;1
4; 2;tra dipendenti; 2;agricola frutticultura ortaggi;1;assicurativa 12 mila dipendenti;1
40; 2;tutto il; 2;al settore lapideo;1;assisi pantalla e tutto;1
agenzia; 2;un centro; 2;albergo trivulzio chirurgia;1;assistenza all'infanzia 10 dipendenti;1
anziani; 2;università di; 2;all'infanzia 10 dipendenti;1;assistenza manutenzione e riparazione;1
assistenza; 2;universitario studenti; 2;all'istituto di ricerca;1;associato piccole media aziende;1
autonomo; 2;utenza di; 2;alla quale fanno;1;asst circa 2000 dipendenti;1
avvocati; 2;1 10; 1;alla raccolta delle;1;atomotive e della prodizione;1
bacino; 2;1.000 dipendenti; 1;alle impresa in;1;attività anche in rsa;1
banca; 2;1.500 dipendenti; 1;ambito cd tax;1;attuale bacino di utenza;1
capo; 2;100 avvocati; 1;americana 30 dipendenti;1;automatici e robotizzati clientela;1
centrali; 2;100 dipendenti; 1;anche con riferimento;1;automatizzata per settori food;1
clinica; 2;1000 dipendenti; 1;anche di ristrutturazione;1;automazione di processi per;1
cnrs; 2;1000 employees; 1;anche in rsa;1;autoveicoli ne dipeo 19;1
commerciale; 2;10k dipendenti; 1;and space circa;1;avvocati aziende il mio;1
comunicazione; 2;12 mila; 1;appartenente al settore;1;avvocati e 45 dipendenti;1
consulente; 2;120 circa; 1;architettura 3 soci;1;azienda agricola frutticultura ortaggi;1
dioendenti; 2;13 dipendenti; 1;artificiale i clienti;1;azienda appartenente al settore;1
dipendente; 2;132 letti; 1;asl assistenza all'infanzia;1;azienda che progetta e;1
elettronici; 2;14 collaboratoti; 1;assicurativa 12 mila;1;azienda chimica produttrice di;1
grande; 2;1400 dipendenti; 1;assisi pantalla e;1;azienda commerciale con 7;1
imprese; 2;15 dipendenti; 1;assistenza all'infanzia 10;1;azienda di assistenza manutenzione;1
ingegneria; 2;15 mln; 1;assistenza manutenzione e;1;azienda editoriale in ambito;1
insegnante; 2;15 tra; 1;associato piccole media;1;azienda metalmeccanica circa 100;1
irccs; 2;150 collaboratorivolontariri; 1;asst circa 2000;1;azienda ospedaliera ospedale santa;1
italia; 2;160.000 persone; 1;atomotive e della;1;azienda ospedaliera universitaria 2800;1
italiane; 2;200 unità; 1;attività anche in;1;azienda ospedaliera universitaria centinaia;1
medico; 2;2200 dipendenti; 1;attuale bacino di;1;azienda ospedaliera universitaria eroga;1
metalmeccanica; 2;2800 dipendenti; 1;automatici e robotizzati;1;azienda ospedaliera utente paziente;1
nazionali; 2;3 dipendenti; 1;automatizzata per settori;1;azienda per la difesa;1
nucleare; 2;30 clienti; 1;automazione di processi;1;azienda sanitaria locale pazienti;1
occupa; 2;30 dipendenti; 1;autonomo clienti anziani;1;azienda sanitaria territoriale alla;1
organizzazione; 2;4 collaboratori; 1;autoveicoli ne dipeo;1;aziendale definizione strategica anche;1
ospedali; 2;4 dipendenti; 1;avvocati aziende il;1;aziende 15 tra dipendenti;1
parrucchiere; 2;45 dipendenti; 1;avvocati e 45;1;aziende 2 dipendenti nella;1
pazienti; 2;5 dioendenti; 1;azienda agricola frutticultura;1;aziende il mio datore;1
personale; 2;5 su; 1;azienda appartenente al;1;aziende piccole bar panifici;1
perugia; 2;50 ricercatori; 1;azienda che progetta;1;bacino d utenza di;1
policlinico; 2;500 dipendenti; 1;azienda chimica produttrice;1;bacino di utenza di;1
poste; 2;60 dipendenti; 1;azienda commerciale con;1;banche sim sgr e;1
primaria; 2;660 dipendenti; 1;azienda di assistenza;1;bar panifici parrucchiere etc;1
privati; 2;7 pedemontana; 1;azienda editoriale in;1;branca assisi pantalla e;1
pubblico; 2;7 soci; 1;azienda metalmeccanica circa;1;business 1 10 dipendenti;1
ricercatori; 2;70 dipendenti; 1;azienda ospedaliera 3000;1;caffè in comodato d’uso;1
roma; 2;70.000 persone; 1;azienda ospedaliera ospedale;1;campo della fusione nucleare;1
sistemi; 2;80 persone; 1;azienda ospedaliera utente;1;campus biomedico di roma;1
società; 2;800 dipendenti; 1;azienda per la;1;capo a nims che;1
spa; 2;850000 clienti; 1;azienda sanitaria locale;1;capo gli ospedali di;1
srl; 2;a contatto; 1;azienda sanitaria ospedaliera;1;cardiologi e quindi con;1
ssn; 2;a istruzione; 1;azienda sanitaria pubblica;1;cardiologico 800 dipendenti circa;1
startup; 2;a maggioranza; 1;azienda sanitaria territoriale;1;castello di branca assisi;1
statale; 2;a nims; 1;azienda sanitario locale;1;cd tax legal informazione;1
supporto; 2;a pagamento; 1;aziendale definizione strategica;1;centrali elettriche numero dipendenti;1
tipologia; 2;a piccole; 1;aziende 15 tra;1;centrali nucleari centrali elettriche;1
usl; 2;a professionisti; 1;aziende 2 dipendenti;1;centro della ricerca scientifica;1
utenza; 2;a rennes; 1;aziende e intermefisri;1;centro di ricerca 50;1
1; 1;a struttura; 1;aziende il mio;1;centro di ricerca con;1
1.000; 1;abbiamo 3; 1;aziende piccole bar;1;centro di ricerca sulla;1
1.500; 1;abrasivi spa; 1;bacino d utenza;1;che distribuisce macchine da;1
10k; 1;accaierie inceneritori; 1;bacino di utenza;1;che necessitano di un;1
12; 1;accoglienza per; 1;banche sim sgr;1;che offre servizi alle;1
120; 1;accreditato ssn; 1;bar panifici parrucchiere;1;che progetta e produce;1
13; 1;agenti con; 1;beverage e tissue;1;chimica produttrice di abrasivi;1
132; 1;agricola frutticultura; 1;biomedico di roma;1;chirurgia in clinica privata;1
14; 1;al settore; 1;branca assisi pantalla;1;circa 1.000 dipendenti clientela;1
1400; 1;albergo trivulzio; 1;business 1 10;1;circa 100 dipendenti clienti;1
150; 1;all'infanzia 10; 1;caffè in comodato;1;circa 30 clienti istituzionali;1
160.000; 1;all'istituto di; 1;campo della fusione;1;circa 3000 dipendenti tra;1
19; 1;alla quale; 1;campus biomedico di;1;circa 80 persone tra;1
20; 1;alla raccolta; 1;capo a nims;1;città di castello di;1
200; 1;alle impresa; 1;capo gli ospedali;1;clientela dalle multinazionali a;1
2200; 1;ambito cd; 1;cardiologi e quindi;1;clientela di aziende piccole;1
2800; 1;americana 30; 1;cardiologico 800 dipendenti;1;clientela di medie aziende;1
4000; 1;anche con; 1;castello di branca;1;clientela e fornire lo;1
45; 1;anche di; 1;cd tax legal;1;clientela grossisti rivenditori colorifici;1
500; 1;anche in; 1;centinaia di dipendenti;1;clientela oem 600 dipendenti;1
60; 1;and space; 1;centrali elettriche numero;1;clientela privata e istituzionale;1
660; 1;appartenente al; 1;centrali nucleari centrali;1;clientela varia nessun dipendente;1
70; 1;appoggiata ssn; 1;centro della ricerca;1;clienti e 500 dipendenti;1
70.000; 1;architettura 3; 1;che distribuisce macchine;1;clienti i nostri clienti;1
80; 1;artificiale i; 1;che necessitano di;1;clienti in tutto il;1
800; 1;asl assistenza; 1;che offre servizi;1;clienti istituzionali banche sim;1
850000; 1;assicurativa 12; 1;che progetta e;1;clienti militari e governi;1
abrasivi; 1;assisi pantalla; 1;chimica produttrice di;1;clienti nazionali e internazionali;1
accaierie; 1;assistenza all'infanzia; 1;chirurgia in clinica;1;clienti prettamente business 1;1
accoglienza; 1;assistenza manutenzione; 1;circa 1.000 dipendenti;1;clienti sono accaierie inceneritori;1
accreditato; 1;associato piccole; 1;circa 100 dipendenti;1;clienti sono imprese nazionali;1
agenti; 1;asst circa; 1;circa 10k dipendenti;1;clienti sono negozi che;1
agricola; 1;atomotive e; 1;circa 2000 dipendenti;1;clinica privata pio albergo;1
albergo; 1;attività anche; 1;circa 30 clienti;1;cnrs è una delle;1
all'infanzia; 1;attuale bacino; 1;circa 3000 dipendenti;1;cnrs il centro della;1
all'istituto; 1;ausl romagna; 1;circa 35 dipendenti;1;collaboratoti 2 dipendenti 7;1
ambito; 1;automatici e; 1;circa 40 dipendenti;1;collaboriamo lavoriamo con i;1
americana; 1;automatizzata per; 1;circa 50 dipendenti;1;commerciale con 7 dipendenti;1
amministrativi; 1;automazione di; 1;circa 50 ricercatori;1;commerciale con clientela di;1
and; 1;autonomo clienti; 1;circa 600 dipendenti;1;commercialista associato piccole media;1
appartenente; 1;autoveicoli ne; 1;circa 70 dipendenti;1;commercialisti 14 collaboratoti 2;1
appoggiata; 1;avvocati aziende; 1;circa 80 persone;1;commercialisti che offre servizi;1
architettura; 1;avvocati e; 1;città di castello;1;commercialisti consulenti del lavoro;1
artificiale; 1;azienda agricola; 1;clientela dalle multinazionali;1;comodato d’uso gratuito sono;1
assicurativa; 1;azienda appartenente; 1;clientela di aziende;1;comunicazione e organizzare eventi;1
assisi; 1;azienda che; 1;clientela di medie;1;comunicazione e pubbliche relazioni;1
assistenziale; 1;azienda chimica; 1;clientela e fornire;1;con 100 avvocati e;1
associato; 1;azienda commerciale; 1;clientela grossisti rivenditori;1;con attività anche in;1
associazioni; 1;azienda di; 1;clientela oem 600;1;con attuale bacino di;1
asst; 1;azienda editoriale; 1;clientela privata e;1;con bacino d utenza;1
ateneo; 1;azienda metalmeccanica; 1;clientela varia nessun;1;con circa 70 dipendenti;1
atomotive; 1;azienda per; 1;clienti e 500;1;con clientela di aziende;1
attività; 1;azienda sanitario; 1;clienti i nostri;1;con clienti in tutto;1
attuale; 1;aziendale definizione; 1;clienti in tutto;1;con cui collaboriamo lavoriamo;1
ausl; 1;aziende 15; 1;clienti istituzionali banche;1;con i cardiologi e;1
automatici; 1;aziende 2; 1;clienti militari e;1;con la loro clientela;1
automatizzata; 1;aziende e; 1;clienti nazionali e;1;con meno di 10;1
automazione; 1;aziende il; 1;clienti prettamente business;1;con riferimento alla raccolta;1
autoveicoli; 1;aziende piccole; 1;clienti sono accaierie;1;con un numero elevato;1
banche; 1;bacino d; 1;clienti sono imprese;1;consulente con piva personale;1
bar; 1;bacino di; 1;clienti sono negozi;1;consulenti del lavoro avvocati;1
beverage; 1;banche sim; 1;clinica privata accreditata;1;consulenza finanziaria indipendente per;1
biomedico; 1;bar panifici; 1;clinica privata pio;1;contatto con un numero;1
branca; 1;beverage e; 1;cnrs è una;1;convenzionata e onlus appoggiata;1
business; 1;biomedico di; 1;cnrs il centro;1;costruzione impianti automatici e;1
caffè; 1;branca assisi; 1;collaboratoti 2 dipendenti;1;covid circa 600 dipendenti;1
campo; 1;business 1; 1;collaboriamo lavoriamo con;1;cui collaboriamo lavoriamo con;1
campus; 1;caffè in; 1;colorifici ferramente carrozzerie;1;cui il cnrs è;1
cardiologi; 1;campo della; 1;commerciale con 7;1;d utenza di 70.000;1
cardiologico; 1;campus biomedico; 1;commerciale con clientela;1;d’uso gratuito sono libero;1
carrozzerie; 1;capo a; 1;commercialista associato piccole;1;da caffè in comodato;1
castello; 1;capo gli; 1;commercialisti 14 collaboratoti;1;da governo e progetti;1
cd; 1;cardiologi e; 1;commercialisti che offre;1;da struttura a struttura;1
centinaia; 1;cardiologico 800; 1;commercialisti consulenti del;1;dalle multinazionali a piccole;1
chimica; 1;castello di; 1;comodato d’uso gratuito;1;datore di lavoro occupa;1
chirurgia; 1;cd tax; 1;comunicazione e organizzare;1;dedicata a istruzione su;1
