unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
medico;20;di ricerca;7;ricerca e sviluppo;3;che si occupa di;2
responsabile;12;ricerca e;4;business development manager;2;int.l business development manager;2
ricerca;11;dirigente medico;3;che si occupa;2;3 dipendenti 1 socio;1
manager;10;e sviluppo;3;dottorando di ricerca;2;3 gestione della spedizione;1
ricercatore; 7;libero professionista;3;impiegato front office;2;30 35 persone che;1
dirigente; 6;mi occupo;3;incarico di organizzazione;2;35 persone che si;1
sviluppo; 6;assistenza clientela;2;int.l business development;2;account manager gestisco i;1
titolare; 6;attività di;2;si occupa di;2;account rapporto con i;1
area; 5;business development;2;sono il responsabile;2;ad alto contenuto tecnologico;1
direttore; 5;che si;2;studente di dottorato;2;addetto alla contabilità fiscale;1
dottorando; 5;development manager;2;3 dipendenti 1;1;aerea e interazione uomo;1
gestione; 5;di dottorato;2;3 gestione della;1;agenzie della toscana e;1
partner; 5;di organizzazione;2;30 35 persone;1;al bisogno mi occupo;1
consulenza; 4;di un;2;35 persone che;1;al lavoro da casa;1
docente; 4;dottorando di;2;account manager gestisco;1;al paziente in ospedale;1
impiegato; 4;è responsabile;2;account rapporto con;1;alcuni dei clienti più;1
infermiera; 4;front office;2;ad alto contenuto;1;alla contabilità fiscale e;1
insegnante; 4;il responsabile;2;addetto alla contabilità;1;alto chiascio e assisi;1
libero; 4;impiegato front;2;aerea e interazione;1;analisi e svilupo di;1
professore; 4;incarico di;2;agenzie della toscana;1;anche della consegna del;1
riabilitatore; 4;int.l business;2;al bisogno mi;1;anestesista rianimatore con ruolo;1
settore; 4;medico specializzando;2;al lavoro da;1;animazione culturale vigilanza ammiistrativo;1
aiuto; 3;occupa di;2;al paziente in;1;artificiale per attività di;1
amministratore; 3;project manager;2;alcuni dei clienti;1;assistenza clientela 3 gestione;1
clienti; 3;r d;2;alla contabilità fiscale;1;attività di comunicazione con;1
coordinatore; 3;si occupa;2;alla gestione finanziaria;1;attività di teleoperazione in;1
dipendente; 3;sono il;2;alto chiascio e;1;attualmente al lavoro da;1
funzionario; 3;studente di;2;alto contenuto tecnologico;1;autonomus grasping e virtuale;1
lezioni; 3;1 socio;1;analisi e svilupo;1;basati su gnss e;1
manutenzione; 3;3 dipendenti;1;anche della consegna;1;bisogno mi occupo anche;1
occupo; 3;3 gestione;1;anestesia e rianimazione;1;campo della robotica ed;1
organizzazione; 3;30 35;1;anestesista rianimatore con;1;capo reparto di un;1
professionista; 3;35 persone;1;animazione culturale vigilanza;1;casa e tengo eventuali;1
proprietario; 3;account manager;1;area di oportunita;1;clientela 3 gestione della;1
servizi; 3;account rapporto;1;area igiene ospedaliera;1;clienti e attività di;1
specializzando; 3;ad alto;1;artificiale per attività;1;clienti in tutts italia;1
studente; 3;addetto alla;1;assegnista di ricerca;1;clienti più importanti dell'azienda;1
tecnico; 3;aerea e;1;assistenza clientela 3;1;commerciali con alcuni dei;1
universitario; 3;agenzie della;1;attività di comunicazione;1;commercializzazione e della promozione;1
3; 2;aiuto cuoco;1;attività di teleoperazione;1;complessa di ricovero e;1
account; 2;aiuto ginecologo;1;attualmente al lavoro;1;comunicazione con la stampa;1
alto; 2;al bisogno;1;autonomus grasping e;1;con alcuni dei clienti;1
assistenza; 2;al lavoro;1;basati su gnss;1;con i clienti e;1
assistenziale; 2;al paziente;1;bisogno mi occupo;1;con incarico di organizzazione;1
attività; 2;alcuni dei;1;campo della robotica;1;con la stampa organizzazione;1
business; 2;alla contabilità;1;capo reparto di;1;con procura alla gestione;1
clientela; 2;alla gestione;1;casa e tengo;1;con ruolo di aiuto;1
collaboratore; 2;alto chiascio;1;chain e informatica;1;consegna del dispositivo al;1
consulente; 2;alto contenuto;1;chiascio e assisi;1;consigliare sulle molteplici necessità;1
contabilità; 2;analisi e;1;clientela 3 gestione;1;consulente diabetologia medicina interna;1
d; 2;anche della;1;clienti e attività;1;consulenza e consigliere di;1
development; 2;anestesia e;1;clienti in tutts;1;consulenza informatica e lezioni;1
diabetologia; 2;anestesista rianimatore;1;clienti più importanti;1;consulenza supply chain e;1
dipartimento; 2;animazione culturale;1;collaboratore esterno giornalista;1;contabilità fiscale e amministrativa;1
dottorato; 2;architetto titolare;1;commerciali con alcuni;1;coordinatore infermieristico è responsabile;1
esami; 2;area assistenziale;1;commercializzazione e della;1;coorfinatore di area assistenziale;1
eventi; 2;area di;1;complessa di ricovero;1;d enginer responsabile del;1
farmacista; 2;area eventi;1;comunicazione con la;1;da casa e tengo;1
finanziaria; 2;area igiene;1;con alcuni dei;1;dei clienti più importanti;1
front; 2;area medica;1;con i clienti;1;dei servizi web di;1
generale; 2;artificiale per;1;con incarico di;1;del dispositivo al paziente;1
incarico; 2;assegnista di;1;con la stampa;1;del gruppo di ricerca;1
informatica; 2;attualmente al;1;con procura alla;1;del team rainbow sulle;1
int.l; 2;autonomus grasping;1;con ruolo di;1;del triveneto al bisogno;1
internista; 2;basati su;1;consegna del dispositivo;1;dell’area lavoro che si;1
lavoro; 2;bisogno mi;1;consigliare sulle molteplici;1;della commercializzazione e della;1
medicina; 2;campo della;1;consigliere di amministrazione;1;della consegna del dispositivo;1
occupa; 2;capo reparto;1;consulente diabetologia medicina;1;della promozione di una;1
office; 2;casa e;1;consulenza e consigliere;1;della robotica ed intelligenza;1
postdoc; 2;chain e;1;consulenza informatica e;1;della spedizione del materiale;1
project; 2;chiascio e;1;consulenza supply chain;1;della toscana e del;1
r; 2;clientela 3;1;contabilità fiscale e;1;di autonomus grasping e;1
robotica; 2;clienti e;1;coordinatore infermieristico è;1;di comunicazione con la;1
ruolo; 2;clienti in;1;coorfinatore di area;1;di dottorato quindi svolgo;1
senior; 2;clienti più;1;culturale vigilanza ammiistrativo;1;di due servizi diabetologici;1
servizio; 2;collaboratore esterno;1;d enginer responsabile;1;di manutenzione infrastruttura conto;1
sportellista; 2;commerciali con;1;d project manager;1;di navigazione basati su;1
struttura; 2;commercializzazione e;1;da casa e;1;di nuove tecnologie nel;1
studio; 2;complessa di;1;dei clienti più;1;di nuovi prodotti area;1
1; 1;comunicazione con;1;dei servizi web;1;di organizzazione area igiene;1
30; 1;con alcuni;1;del dispositivo al;1;di prodotto in tutta;1
35; 1;con i;1;del gruppo di;1;di ricerca e non;1
abbonamenti; 1;con incarico;1;del team rainbow;1;di ricerca sviluppo analisi;1
addetto; 1;con la;1;del triveneto al;1;di ricovero e cuea;1
aerea; 1;con procura;1;dell’area lavoro che;1;di robotica di servizio;1
agenzie; 1;con ruolo;1;della commercializzazione e;1;di servizio mobile aerea;1
alcuni; 1;consegna del;1;della consegna del;1;di struttura complessa di;1
ammiistrativo; 1;consigliare sulle;1;della promozione di;1;di teleoperazione in particolare;1
amministrativa; 1;consigliere di;1;della robotica ed;1;di tutte le tematiche;1
amministrative; 1;consulente diabetologia;1;della spedizione del;1;di un grosso dipartimento;1
amministrativo; 1;consulente finanziario;1;della toscana e;1;di un settore ingegneristico;1
amministrazione; 1;consulenza commerciale;1;di area assistenziale;1;di una linea di;1
analisi; 1;consulenza e;1;di autonomus grasping;1;di uno studio clinico;1
anestesia; 1;consulenza informatica;1;di comunicazione con;1;diabetologici e malattie endocrine;1
anestesista; 1;consulenza supply;1;di dottorato quindi;1;dipartimento ad alto contenuto;1
animazione; 1;contabilità fiscale;1;di due servizi;1;dipendente part time full;1
architetto; 1;contenuto tecnologico;1;di manutenzione infrastruttura;1;direttore di struttura complessa;1
artificiale; 1;continuità assistenziale;1;di navigazione basati;1;dirigente medico area medica;1
assegnista; 1;conto ditte;1;di nuove tecnologie;1;dirigo la struttura organizzata;1
assisi; 1;convegni internazionali;1;di nuovi prodotti;1;dispositivo al paziente in;1
attualmente; 1;coordinatore infermieristico;1;di organizzazione area;1;diversi servizi progetti gestione;1
automazione; 1;coorfinatore di;1;di organizzazione sitro;1;dottorato quindi svolgo mansioni;1
autonomus; 1;culturale vigilanza;1;di prodotto in;1;due servizi diabetologici e;1
aziendale; 1;d enginer;1;di ricerca clinica;1;e attività di comunicazione;1
basati; 1;d project;1;di ricerca e;1;e consigliare sulle molteplici;1
bisogno; 1;da casa;1;di ricerca sviluppo;1;e consigliere di amministrazione;1
campo; 1;dei clienti;1;di ricovero e;1;e del triveneto al;1
capo; 1;dei servizi;1;di robotica di;1;e della promozione di;1
capogruppo; 1;del dispositivo;1;di servizio mobile;1;e interazione uomo robot;1
capotreno; 1;del gruppo;1;di struttura complessa;1;e malattie endocrine alto;1
cartografia; 1;del materiale;1;di teleoperazione in;1;e partner con procura;1
casa; 1;del team;1;di tutte le;1;è responsabile area eventi;1
chain; 1;del triveneto;1;di un grosso;1;e responsabile relazioni scientifiche;1
chiascio; 1;dell’area lavoro;1;di un settore;1;è responsabile settore formazione;1
chirurgo; 1;della commercializzazione;1;di una linea;1;e svilupo di nuovi;1
clinica; 1;della consegna;1;di uno studio;1;e tengo eventuali lezioni;1
clinico; 1;della promozione;1;diabetologia medicina interna;1;ed esami faccio ricerca;1
commerciale; 1;della riabilitazione;1;diabetologici e malattie;1;ed intelligenza artificiale per;1
commerciali; 1;della robotica;1;dipartimento ad alto;1;educazione finanziaria e consigliare;1
commercializzazione; 1;della spedizione;1;dipendente part time;1;emilia romagna più son;1
complessa; 1;della toscana;1;dipendenti 1 socio;1;endocrine alto chiascio e;1
comunicazione; 1;di aiuto;1;direttore di struttura;1;engineer sviluppo di nuove;1
consegna; 1;di amministrazione;1;direttore scuola specializzazione;1;enginer responsabile del gruppo;1
consigliare; 1;di area;1;direttore uo diabetologia;1;esami faccio ricerca n;1
consigliere; 1;di autonomus;1;dirigente medico area;1;eventuali lezioni o esami;1
contenuto; 1;di comunicazione;1;dirigente professioni sanitarie;1;faccio lezioni ed esami;1
continuità; 1;di due;1;dirigo la struttura;1;faccio ricerca n laboratorio;1
conto; 1;di ingegneria;1;dispositivo al paziente;1;fi posizione organizzativa coorfinatore;1
convegni; 1;di manutenzione;1;diversi servizi progetti;1;finanziaria e consigliare sulle;1
coordimare; 1;di navigazione;1;docente di ruolo;1;fondatore e partner con;1
