unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
lavoro;109;lavoro su;39;lavoro su computer;25;lavoro su computer e;5
computer; 77;al computer;31;lavoro al computer;22;lavoro su pc e;4
attività; 47;lavoro al;30;lavoro su pc;12;1 ora attività fisica;3
fisica; 29;attività fisica;27;lavoro al pc; 5;alleno per raggiungere risultati;3
pc; 27;su computer;27;su computer e; 5;attraverso un programma del;3
ore; 22;su pc;13;su pc e; 5;computer valuto equilibrio e;3
casa; 20;lavoro in; 9;ore al giorno; 4;del computer valuto equilibrio;3
circa; 11;al pc; 7;ore di lavoro; 4;del pz e lo;3
giorno; 11;computer e; 7;1 ora attività; 3;e lo alleno per;3
studio; 11;con i; 7;alleno per raggiungere; 3;e postura del pz;3
8; 10;di lavoro; 7;attività fisica lavoro; 3;equilibrio e postura del;3
clienti; 10;a casa; 6;attraverso un programma; 3;lo alleno per raggiungere;3
meeting;  9;al giorno; 6;computer valuto equilibrio; 3;ore di lavoro al;3
volte;  9;attività di; 6;con i clienti; 3;per raggiungere risultati accettabili;3
pazienti;  8;pc e; 6;del computer valuto; 3;postura del pz e;3
riunioni;  8;8 ore; 5;del pz e; 3;programma del computer valuto;3
settimana;  8;sala operatoria; 5;di lavoro al; 3;pz e lo alleno;3
viaggi;  8;smart working; 5;e lo alleno; 3;un programma del computer;3
1;  7;1 ora; 4;e postura del; 3;valuto equilibrio e postura;3
2;  7;clienti e; 4;equilibrio e postura; 3;affine alla ricerca lavoro;2
4;  7;con clienti; 4;incontri con clienti; 3;alla ricerca lavoro su;2
ricerca;  7;in ufficio; 4;lavoro sul computer; 3;attività clinica in reparto;2
working;  7;lavoro con; 4;lo alleno per; 3;attività fisica lavoro in;2
30;  6;lavoro sul; 4;ora attività fisica; 3;bus o in metro;2
6;  6;ore al; 4;per raggiungere risultati; 3;computer incontri con clienti;2
figli;  6;ore di; 4;postura del pz; 3;con clienti e meeting;2
gestione;  6;pausa pranzo; 4;programma del computer; 3;con una pausa pranzo;2
giorni;  6;30 min; 3;pz e lo; 3;dalle 9 alle 19;2
mattina;  6;7 ore; 3;raggiungere risultati accettabili; 3;due volte alla settimana;2
min;  6;a settimana; 3;svolgo attività fisica; 3;in bus o in;2
ora;  6;alla settimana; 3;un programma del; 3;incontri con clienti e;2
sala;  6;alle 19; 3;valuto equilibrio e; 3;lavoro al computer e;2
tempo;  6;alleno per; 3;volte alla settimana; 3;lavoro principalmente al computer;2
ufficio;  6;attraverso un; 3;8 10 ore; 2;lavoro su computer incontri;2
3;  5;computer valuto; 3;8 ore lavoro; 2;lavoro su computer viaggi;2
50;  5;da casa; 3;9 alle 19; 2;non svolgo attività fisica;2
assistenza;  5;del computer; 3;a casa per; 2;ricerca lavoro su computer;2
covid;  5;del giorno; 3;affine alla ricerca; 2;studio affine alla ricerca;2
famiglia;  5;del pz; 3;al computer e; 2;su computer incontri con;2
giornata;  5;di circa; 3;alla ricerca lavoro; 2;una pausa pranzo di;2
laboratorio;  5;due volte; 3;attività clinica in; 2;1 anno 4 anni;1
lettura;  5;e attività; 3;attività fisica 2; 2;1 giorno a settimana;1
operatoria;  5;e in; 3;attività fisica ogni; 2;1 ora spostamenti 7;1
quando;  5;e lo; 3;bus o in; 2;1 vv a settimana;1
reparto;  5;e postura; 3;circa 6 ore; 2;10 anni visto che;1
smart;  5;equilibrio e; 3;clienti e meeting; 2;10 ore al giorno;1
19;  4;fisica lavoro; 3;clinica in reparto; 2;10 ore di lavoro;1
